Fighter,dob,totalfights,elo,losestreak,winstreak,titlewins,oppelo,wins,losses,avg age,KD,KD differential,Sig. str.,Sig. str. differential,Total str.,Total str. differential,Td,Td differential,Sub. att,Sub. att differential,Rev.,Rev. differential,Ctrl,Ctrl differential,Head,Head differential,Body,Body differential,Leg,Leg differential,Distance,Distance differential,Clinch,Clinch differential,Ground,Ground differential,Sig. str.%,Sig. str.% differential,Sig. str.% defense,Total str.%,Total str.% differential,Total str.% defense,Td%,Td% differential,Td% defense,Head%,Head% differential,Head% defense,Body%,Body% differential,Body% defense,Leg%,Leg% differential,Leg% defense,Distance%,Distance% differential,Distance% defense,Clinch%,Clinch% differential,Clinch% defense,Ground%,Ground% differential,Ground% defense,Ethnicity
,0,12,1000,0,0,0,12000,0,0,23972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ali AlQaisi,1990,2,967.3584527,2,0,0,1969.387851,0,2,60,0,0,10.66666667,32,19.06666667,-3,1.466666667,20,0.333333333,-11,0,0,1.727777778,17.15,5.066666667,2,1.266666667,-6,4.333333333,36,9.6,32,0.8,-1,0.266666667,1,0.143359394,0.17336925,3.022978347,0.180670287,-0.077258295,2.212687402,0.103703704,1.155555556,4.6,0.097895903,-0.046620554,3.484940907,0.185185185,0.055555556,2.277777778,0.256491228,0.547368421,1.7,0.143032787,0.245603038,3.100111235,0.148148148,-0.402777778,2.375,0.088888889,0.333333333,4,Middle Eastern
Benito Lopez,1994,4,1001.014837,1,0,0,4053.819253,2,2,101,0.066666667,-8,101.999093,-522,107.1451247,-671,0,-20,0.066666667,-51,0,0,1.307566138,-50.3,30.66802721,-574,12.93061224,-175,58.40045351,227,82.32199546,-321,6.615873016,-3,13.06122449,-198,3.234410936,-0.307505613,12.38023057,3.366892766,-0.556766045,11.71120301,0,-20,10,1.966524894,-3.769622981,16.50947154,3.513564187,-5.942795699,4.333333333,5.029591837,5.071348941,7.654682274,2.72129858,-0.612153107,14.00017901,1.096296296,-4.111904762,21.98333333,3.265306122,-6.75,7.25,North American
Matt Grice,1981,7,957.0755312,1,0,0,6972.706622,2,5,201,5.504136253,-21,545.2138057,370,907.9149479,102,13.875,156,4.37080292,-116,0,-4,41.70357594,192.15,388.5598557,264,70.06301746,83,86.59093249,23,198.7404668,-36,173.8654314,248,172.6079075,158,8.587579783,16.21162385,90.44285696,11.38400177,12.80757462,70.36745158,2.118650794,2.321428571,112.6666667,5.020529206,7.197840437,94.67591486,7.339051239,11.18166667,82.14,10.9115903,3.808356676,65.33613445,6.021911216,12.00139005,101.2125012,8.663538009,0.760074627,80.375,4.555496837,-17.41881961,71.82,North American
Rob Font,1987,17,1053.407827,2,0,0,17970.94078,10,7,543,126.5915345,-461,10767.36895,53490,11620.49538,31529,70.31969289,-3204,17.44157489,-289,37.38237885,166,118.0647957,-7914.85,8665.658332,46298,1506.914285,12387,594.7963358,-5195,9162.613104,61173,500.3290737,2101,1104.426775,-9784,98.31110374,-90.82227908,900.8109164,101.2241092,-118.0061896,807.5993026,31.42383137,-178.5761905,1064.490476,93.24215826,-76.6253777,995.9601979,128.7763175,42.64285352,514.9763971,149.1152967,-142.1268227,271.51027,91.18593929,-61.08772711,967.6635083,128.3676924,329.7353646,945.2251082,112.3653676,-214.455848,801.002381,North American
Drew Dober,1988,22,1076.023788,0,1,0,22371.40735,13,8,668,749.6448983,1363,24021.13171,2701,26929.37096,-22969,47.4,-3886,4.821428571,-873,19.26666667,125,346.9968307,-3809.966667,16714.17401,-5449,4896.652367,4054,2410.305341,4096,16909.14803,3952,1678.3299,1006,5433.653787,-2257,465.6894464,-179.2563881,1948.431296,486.62228,-197.5599495,1813.323337,12.77714286,-784.3731602,2818.969697,419.9509067,-198.414451,2234.545007,597.0921692,193.7089162,1204.3504,558.7251797,144.9314408,1366.803968,358.3614797,-216.6509407,2152.188805,603.2967127,-17.84075815,1368.482707,673.8415923,592.4185714,2029.561905,North American
Clay Guida,1981,36,1003.90055,2,0,0,37204.81119,18,18,1189,624.2738218,-711,61131.54513,-180864,86589.21276,-107237,2616.181063,17562,368.3655764,-7193,374.0611418,1235,4779.3366,36748.91667,37836.1504,-251638,8928.273329,-15179,14367.1214,85953,40991.51182,-158351,4873.078923,-43566,15266.95438,21053,1586.855438,-346.6464632,9544.050785,1676.835181,-604.7716572,8307.311378,983.8867387,1393.597258,14155.88413,1138.67472,-1660.198429,10192.03706,1534.409499,1342.627559,8131.846999,3582.081003,2666.707094,4532.874603,1465.987601,-380.4981771,10552.59423,804.9392771,-2224.560531,6176.99933,1124.99164,-27.02302555,9908.349749,North American
Devonte Smith,1993,6,993.8577391,2,0,0,5968.738645,3,3,162,2.334390745,-29,350.860314,-507,447.4538363,-191,1.853281853,-9,1.853281853,16,0,-16,6.466501962,-203.7666667,200.8778398,148,83.50986871,-463,66.47260545,-192,255.0759468,-386,71.62054939,-76,24.1638178,-45,6.234495745,-0.090201563,44.29140253,6.674072572,0.898565489,40.03071716,1.853281853,3.5,78.5,4.6805715,1.996412941,58.9456044,7.889752702,-4.001785714,25.06964286,11.25151108,4.429545455,9.647727273,5.773552471,-1.982249521,47.97520837,5.181129184,11.46063241,45.78063241,2.929120788,-20.5030303,55.96363636,North American
Eddie Ruiz,1967,1,984.0812596,1,0,0,1001.764546,0,1,36,0,-1,0.2,-18,2,-27,0.133333333,2,0,-3,0.133333333,1,0.316666667,-2.233333333,0,-10,0.066666667,-9,0.133333333,1,0.133333333,-1,0.066666667,-13,0,-4,0.016666667,-0.275,0.475,0.046511628,-0.023844569,0.278481013,0.008333333,0.125,1,0,-0.384615385,0.615384615,0.033333333,-0.333333333,0.166666667,0.033333333,0,0.5,0.014814815,0.007936508,0.785714286,0.033333333,-0.323529412,0.176470588,0,-0.444444444,0.555555556,North American
Waylon Lowe,1980,4,1003.354007,1,0,0,4077.115588,2,2,122,0,-1,75.57663358,-153,111.2088916,-576,9.183085194,112,1.290322581,0,0,0,13.82583195,169.9666667,69.03899917,229,6.537634409,-160,0,-222,61.18924731,-36,7.340074442,35,7.047311828,-152,1.456196839,3.68911276,14.93052572,1.643223383,2.014860486,10.53579767,1.398768167,9.19047619,21,1.392689738,5.864812503,18.01616162,2.023655914,4.333333333,7.333333333,0,-24.11111111,5.888888889,1.360738065,6.081084813,18.13866874,1.471422663,-2.5,9.333333333,1.807185326,-3.247058824,3,North American
Victor Henry,1987,4,1021.992006,0,1,0,4174.320768,2,1,142,0,0,195.3238095,658,236.4952381,872,0,-52,1.2,18,0.6,9,1.632222222,-38.66666667,77.27619048,279,61.41904762,393,56.62857143,-14,155.7619048,476,35.96190476,186,3.6,-4,2.64577306,0.384650541,11.33297527,2.794331739,0.581537376,10.40872157,0,-7.331092437,22.66890756,1.327063068,-1.508065625,17.50027407,3.874665696,2.817850789,4.412151067,3.199696545,-4.349288663,1.426691729,2.54282011,0.821590485,12.78012917,3.771659452,-1.253030303,1.886363636,0.6,-2.9,18.1,North American
Billy Goff,1998,1,1015.23156,0,1,0,983.3006932,1,0,25,0.262008734,1,10.48034934,23,11.26637555,26,0,0,0,0,0,0,0.021834061,0.083333333,3.406113537,-2,3.406113537,11,3.668122271,14,9.43231441,19,0.524017467,2,0.524017467,2,0.123298228,0.149833518,0.679245283,0.126588489,0.16239135,0.679245283,0,0,1,0.072470501,-0.035904255,0.6875,0.170305677,0.25,0.6,0.203784571,0.777777778,1,0.120927108,0.134615385,0.673076923,0.262008734,1,1,0.104803493,0.4,1,Unknown
Stanislav Nedkov,1981,4,984.000437,2,0,0,4034.10757,1,2,127,0.577579682,-20,94.90498265,-459,117.5970611,-597,4.639175258,41,0,-20,0,0,6.513342422,0.166666667,80.11972273,-175,12.4022812,-152,2.382978723,-132,56.32436334,-31,23.0030145,-375,15.57760482,-53,6.400593594,-6.780590863,9.122210257,6.509407578,-6.743046561,8.082487547,0.773195876,3.5,26,7.11325078,-4.546708945,11.27795774,0.867341157,-17.44240196,3.911764706,0.264775414,-26.52525253,0.363636364,6.13098544,-0.792106725,17.75882495,0.967155239,-15.6287008,5.444444444,0.614960349,-17.74516129,7.2,Slavic
Enrique Barzola,1989,10,1038.766919,1,0,1,10093.90533,6,3,287,0,0,1648.733333,4608,2522.866667,12211,71.6,546,10.13333333,152,6.666666667,-16,89.49777778,625.0666667,1012.066667,1397,418.4666667,2511,218.2,700,1148.666667,-1681,74.6,413,425.4666667,5876,11.89823466,35.67655025,242.2030304,13.28712828,33.07527293,218.7683488,9.731904762,75.19069264,314.2121212,9.61508585,31.34621701,272.1199293,19.0128718,41.40634331,141.2132663,16.11958238,-39.76407065,103.4421937,8.888459159,-4.954994635,246.718118,16.40357143,70.98690476,209.9333333,12.61791346,43.76870197,239.5,South American
Rani Yahya,1984,20,1085.474846,1,0,0,20118.55183,13,5,642,0,-1273,5587.914882,-9856,13991.23914,-1379,457.5477582,2836,618.6051039,1795,71.17163121,281,1143.927991,5801.15,2091.06725,-23065,1107.680818,-458,2389.166813,13667,4916.570703,8002,106.5748032,637,564.7693749,-18495,287.3341846,233.6842191,1669.817549,311.5984931,-99.23162485,1163.777769,108.8491897,7.719372294,2005.45,126.9872537,-320.4136932,1857.142919,395.1867345,439.3091144,1324.525641,433.0264688,820.221589,1385.968889,270.1119933,292.2784918,1872.802799,36.59962384,45.80833333,2405.125,149.9387649,-357.2755019,1415.275689,South American
Gray Maynard,1979,20,1040.094679,1,0,0,20844.89612,11,7,652,45.66878307,-1075,5737.717258,-52143,7728.321839,-52910,575.8987924,5101,85.73699115,456,20.64365782,274,766.1726357,7028.233333,4295.319161,-37452,1128.176818,-7263,314.2212792,-7428,4045.020235,-33778,878.0681929,-8405,814.6288308,-9960,170.2395861,-184.3943254,1538.779911,187.6320412,-146.8276049,1382.223381,100.5659427,535.2919786,2489.055844,148.5658266,-207.3786068,1718.223158,246.6105775,218.2997339,1035.316972,136.7956002,-273.9444911,1357.531699,155.6234248,-235.461611,1716.86917,235.3398828,-125.7925604,1117.396469,117.2264108,-701.0154516,1049.931581,North American
Khalid Murtazaliev,1993,1,1018.068179,0,1,0,1045.162594,1,0,25,0,0,4.8,44,5.3,30,0.5,3,0,-3,0.1,1,0.598333333,4.35,3.3,32,1.1,9,0.4,3,0.8,4,0.3,3,3.7,37,0.069565217,0.485125858,0.789473684,0.071621622,0.110953058,0.394736842,0.1,0.333333333,0.333333333,0.062264151,0.539308176,0.916666667,0.091666667,0.583333333,0.666666667,0.1,0,0,0.066666667,0.444444444,0.777777778,0.1,1,1,0.068518519,0.685185185,1,Dagestani
Brad Scott,1989,8,971.1941273,2,0,0,8012.454414,3,5,210,6.666666667,67,604.4860512,-2975,700.046276,-3565,1.682828283,-357,16.26647459,57,1.616161616,16,17.97465812,-101.6,367.0354361,-2254,130.6480211,-706,106.802594,-15,523.744527,-1323,58.61223126,57,22.12929293,-1709,5.094985843,-32.3760613,105.9066021,5.543982594,-34.19923783,99.10926817,0.417373737,-128.1,71.7,4.261918553,-25.59928335,123.1319704,6.537435296,-19.08202707,103.275,8.202548741,-51.09188034,38.20970696,4.567426298,-30.34578039,112.6489683,8.500414467,52.77978345,144.6706259,8.169921437,-5.55537518,83.2224026,European
Keita Nakamura,1984,11,968.473339,1,0,0,11072.98937,4,7,332,12.1752547,145,1084.216198,-4394,1656.989582,-1005,43.6,262,6.641921369,-207,1.933333333,-77,55.45275306,-305.8833333,773.4911392,-3166,198.7685395,-744,111.9565194,-484,894.4944064,-3351,96.58041074,-1070,93.14138097,27,12.79117154,-23.82481677,298.4982678,15.93091003,-3.005502177,273.1682132,10.84888889,25.31190476,368.5785714,11.02307348,-16.26780334,331.9888869,20.01575234,-36.10172805,182.7376659,18.00029202,-155.4898914,93.08947368,11.68114441,-22.14463893,315.9908718,23.22892644,-3.68719662,174.6230598,13.55059573,-112.8779825,202.0536415,Asian
Luke Zachrich,1981,3,985.4049364,1,0,0,3016.775253,1,2,99,0,-1,68.20776302,37,70.23023493,-28,0.266666667,-5,0,-9,0,0,0.004444444,-7.633333333,54.87974123,77,2.133333333,-16,11.19468846,-24,62.14034729,77,6.06741573,-26,0,-14,1.461012888,-0.542738641,7.516392493,1.482528546,-0.820864793,7.14252166,0.266666667,-0.5,9.5,1.220766046,-0.050255458,8.478403078,0.193939394,-8.735645933,2.355263158,3.171562819,0.6,1.333333333,1.428699285,-0.24249536,8.087601626,2.02247191,-0.095238095,4.904761905,0,-10,4,North American
Mike Russow,1976,6,1027.130507,2,0,0,6100.74422,4,2,211,0.317880795,-21,173.5284638,-1727,254.7766476,-2151,13.72424242,95,0.133333333,2,0.066666667,-16,31.93871959,269.9,166.1284638,-1309,7.4,-246,0,-172,119.0527062,-549,43.60909091,-192,10.86666667,-986,5.338503294,-11.43284529,39.74251302,5.763195431,-10.99224653,34.87795401,1.82030303,-15.17272727,55,5.260163301,-8.977723962,43.27273425,1.555555556,-46.63333333,24.03333333,0,-52.41666667,38.58333333,5.184738914,-1.742508413,51.6193156,2.812727273,-23.72564103,41.87435897,1.002222222,-41.84004577,34.1266209,North American
Carlo Pedersoli Jr.,1993,3,985.5731618,2,0,0,3052.732796,1,2,76,0,-10,47.47670011,-38,47.54336678,-72,2.006020067,12,0,0,0,0,0.66746191,3.183333333,15.24214047,-84,23.87469342,73,8.359866221,-27,41.92530658,28,5.418060201,7,0.133333333,-73,3.784150769,-0.796118288,7.429580037,3.784243365,-1.294982469,6.929326923,0.411204013,2.55,14,0.414044992,-3.84623295,7.900345517,7.673403698,2.581951382,4.58974359,7.113999044,-0.476190476,4.166666667,3.718234068,0.626101354,9.18361244,1.35451505,-0.25,7,0.044444444,-12.66666667,0.666666667,European
Kevin Burns,1980,5,980.9807875,3,0,0,4995.375084,2,3,142,6.117171717,7,170.726271,-1084,253.2085561,-1466,1.066666667,-58,1.83295277,19,0,0,3.855815202,-142.0666667,104.300859,-574,22.71017936,-585,43.71523264,75,100.5174763,-903,28.1039865,-116,42.10480824,-65,2.814218316,-10.52650271,23.55398223,3.604721045,-8.275561644,20.05443794,1.066666667,-5,34,2.262056766,-6.856124635,32.52929936,1.400288454,-26.35858586,9.277777778,5.778026776,7.204312354,18.11188811,1.639703848,-15.95052148,24.4091808,3.985964565,-5.566666667,21.08333333,3.871244738,2.644471471,31.92652275,North American
Rich Attonito,1977,5,1012.723576,1,0,0,5020.034428,3,2,167,1.333333333,20,152.1342582,181,317.3056685,1005,5.226915411,-18,0,-16,1.066666667,16,23.95401844,68.8,102.7994579,154,31.20169019,34,18.1331101,-7,53.35721917,84,9.172861357,-102,89.60417763,199,3.612125936,1.463203548,25.04778649,4.317264946,4.95128662,22.33562273,2.59575859,14.05873016,48.22539683,3.186012825,3.033688706,31.61195212,4.76814769,7.481932773,18.11428571,5.428554218,3.955555556,13.73333333,3.597783503,14.43719655,39.48952286,1.301346205,-21.37272727,14.7,3.60487727,1.347530661,25.9862069,North American
Fredson Paixao,1979,1,984,1,0,0,1000,0,1,31,0,-1,1.176470588,-2,1.176470588,-2,0,0,0,0,0,0,0,-0.016666667,0,-2,0,0,1.176470588,0,1.176470588,-1,0,0,0,-1,1.176470588,0.571428571,0.571428571,1.176470588,0.571428571,0.571428571,0,0,1,0,-0.333333333,0.666666667,0,0,1,1.176470588,0,0,1.176470588,0.666666667,0.666666667,0,0,1,0,-1,0,South American
Daniel Santos,1995,3,1018.161553,0,2,0,3033.915127,2,1,82,0.422535211,0,62.42159624,258,113.6666667,568,2.645070423,14,0,-9,0.6,9,6.887308294,80.86666667,41.77183099,153,15.91549296,77,4.7342723,28,31.46103286,-76,9.715492958,52,21.24507042,282,0.561509351,0.434695404,7.215965167,0.639303628,-0.07552643,5.546597979,0.661267606,5.625,10.875,0.49740406,1.135469251,8.769700829,0.826692612,0.301807403,3.624175824,0.675234742,-2.625,3,0.367966175,-2.429642088,7.137843292,0.892924212,4.708730159,7.133333333,0.866013472,7.096618357,10.44444444,South American
Henry Briones,1980,5,957.4946826,4,0,0,5092.421144,1,4,180,0.148514851,-37,135.4669507,-762,235.4098027,-861,0,-138,1.815181518,-6,0,0,0.327809773,-132.7666667,74.02045416,-643,43.46473906,31,17.98175746,-150,122.7251575,-172,11.55367441,-297,1.188118812,-293,1.202279973,-15.35785674,23.04902896,8.448088065,-3.976300173,18.58251071,0,-29.5,25.5,0.883680215,-12.54164118,30.30132824,2.073265468,-1.014023477,25.09270729,2.4292206,-11.75420168,9.352941176,1.155188716,-12.47910401,26.45927565,1.724031607,-7.522122614,23.56578947,0.099009901,-41.53921569,12.79411765,North American
Dan Henderson,1970,18,1024.015388,1,0,1,19113.11974,9,9,732,575.6043433,156,9878.309793,-27916,11065.97681,-52068,34.84662162,-1037,3.765,-933,5.48,137,116.3249773,-2841.216667,7841.989408,-29912,365.0027496,-3839,1671.317635,5835,4622.2054,-20960,1008.50044,1676,4247.603953,-8632,658.3396099,80.56853165,1106.602013,670.1430038,76.66333514,982.960091,8.580540541,-493.0833333,1454.208333,486.2092239,-319.4712489,1159.599577,52.52375185,-203.2344381,1064.294133,380.2501797,708.3936998,1247.932222,626.0186761,-66.24337377,1061.493951,308.3298152,62.23796257,1305.367046,518.3266718,31.09469493,1000.091809,North American
Chad Mendes,1985,14,1065.467797,1,0,0,14799.18764,9,5,402,233.3507907,140,4432.493785,-4779,4816.410641,-11948,161.0321932,1772,8.933333333,111,0,0,181.3814121,1489.216667,3306.478472,-2165,282.5138854,-3908,843.5014274,1294,2133.089961,-9888,320.1261467,682,1979.277677,4427,168.2251787,210.2321501,657.71861,170.2472624,188.5646238,621.8577371,29.35460849,304.8678571,1015,149.8405194,236.7645385,756.0658774,83.95304615,-155.3250656,403.6211529,220.8484037,262.2606011,476.0585498,145.5136908,151.5903474,676.8305026,56.53381906,152.0452381,781.75,155.1878072,-153.252467,422.4886364,North American
Falaniko Vitale,1974,2,1005.033746,1,0,0,2129.948883,1,1,58,0,0,1.868781716,-128,5.8844448,-332,0,-4,0,-4,0,-4,1.155122468,-20.33333333,0.517241379,-75,0,-13,1.351540336,-40,0.556199305,0,0.517241379,-73,0.795341032,-55,0.194133193,-1.527905786,2.519713262,0.385131533,-1.5089826,1.464081373,0,-1.333333333,3.666666667,0.103448276,-1.527272727,3.272727273,0,-4,1,0.725816119,-0.214285714,0.785714286,0.034762457,0.029411765,4.529411765,0.25862069,-3.297101449,1.202898551,0.656291205,0.272727273,2.272727273,Pacific Islanders
Tulio Palhares,0,1,1016,0,1,0,1000,1,0,1998,0,0,3.444444444,20,5.888888889,32,0.444444444,2,0,0,0,-1,0,0,2.888888889,18,0.111111111,-1,0.444444444,3,1.222222222,7,0.111111111,1,2.111111111,12,0.078282828,0.398989899,0.694444444,0.089225589,0.356221792,0.553191489,0.111111111,0.333333333,0.333333333,0.080246914,0.455555556,0.733333333,0.111111111,0.333333333,0.333333333,0.063492063,0.238095238,0.666666667,0.053140097,0.311594203,0.833333333,0.111111111,1,1,0.105555556,0.366666667,0.416666667,South American
Michael Johnson,1986,28,988.1531946,1,0,0,29036.61569,13,15,841,302.0064095,657,36757.34821,35301,38659.50735,849,174.3087216,-2235,20.45272969,-2030,25.2,378,479.1833206,-5495.8,19629.89159,-8537,12464.80908,65474,4662.647545,-21636,33775.04309,80177,1346.480605,-13101,1635.824516,-31775,375.0152028,236.7120033,4614.26684,382.1460337,95.48322014,4394.442483,143.1988577,809.1620879,6930.578755,299.2445184,248.0687951,5381.900221,489.489169,-104.0315578,2809.381043,621.6744105,67.99090441,1757.634881,355.9810901,411.951285,4909.719227,270.6687472,245.8822955,4502.67735,447.4380755,928.9656909,5126.658115,Black American
Mike Lullo,1979,2,968.7363068,2,0,0,2000,0,2,63,0,-2,14.75015974,-147,21.71757188,-184,0.533333333,2,0.095846645,1,0,0,1.291529996,11.56666667,2.729286475,-59,2.495846645,-62,9.525026624,-26,10.21682641,-139,4.533333333,-8,0,0,0.130985462,-1.110892814,2.041045171,0.175261553,-0.865718043,1.791546915,0.041025641,-4.384615385,0,0.050628328,-0.866943043,3.483056957,0.183961661,-1.79,0.56,0.25045987,-1.033566434,0.384615385,0.109509723,-1.201335204,2.27273887,0.215873016,-0.561904762,1.2,0,0,5,Unknown
Joe Doerksen,1977,9,937.9938963,2,0,0,9156.154174,2,7,272,1.066666667,-66,476.1308321,-2276,1471.885019,-1091,13.28518314,-480,44.85607075,70,5.833487731,-5,89.11687384,-975.35,322.7554233,-2364,80.6427578,-87,72.73265097,175,381.6553996,724,50.8005195,-738,43.67491301,-2262,40.37175405,25.26159233,141.6089326,44.85202103,44.60885867,107.8989914,7.322796233,-89.78095238,143.6666667,8.388732785,-24.23171409,181.4431873,19.44681616,-44.08644689,47.47307692,48.24005226,204.3,228.8,39.27944356,79.52596701,203.2284606,5.232351947,-61.6965812,173.8034188,9.41777817,-79.78371736,119.8591398,European
Maiquel Falcao,1981,1,1018.098294,0,1,0,1045.82782,1,0,29,0.066666667,1,1.666666667,17,3.6,46,0.066666667,-1,0.2,3,0,0,0.271111111,3.1,1.2,13,0.4,3,0.066666667,1,0.6,3,0.333333333,3,0.733333333,11,0.037037037,0.424408015,0.868852459,0.046753247,0.57015116,0.868852459,0.066666667,0.714285714,0.714285714,0.032432432,0.398767188,0.912280702,0.066666667,0.25,0.25,0.033333333,0.5,1,0.027272727,0.3,0.890909091,0.037037037,0.222222222,0.666666667,0.052380952,0.785714286,1,South American
Casey Kenney,1991,8,1033.139742,2,0,0,8291.044668,5,3,232,0,0,1259.868852,-1959,1300.135519,-3573,9.733333333,-79,5.512568306,20,0.466666667,2,9.536885246,-73.61666667,696.6218579,-842,282.4961749,-417,280.7508197,-700,1223.956284,-1496,30.31256831,-376,5.6,-87,8.554242685,4.457875631,118.7217889,8.654548414,0.829209435,113.5885368,1.964444444,10.37777778,184.9111111,6.332505797,5.277109035,141.9462241,12.50348274,6.611489154,75.29968526,15.53721454,0.800516673,34.43082321,8.431344811,6.141160404,121.7757777,13.14513973,-15.0706391,54.44078947,2.692307692,28.78797673,192.4033613,North American
Ottman Azaitar,1990,4,997.4934934,2,0,0,4007.866362,2,2,124,0.281690141,-24,139.7530992,-314,151.1898339,-346,0,0,0,0,0,0,0.309707709,-12.78333333,82.27512912,-369,52.71453236,116,4.763437769,-61,95.83276618,-30,25.57412679,25,18.34620627,-309,5.319036668,-0.901517659,14.80116959,5.483571098,-0.905049567,14.26096662,0,0,30,4.307373617,-3.639471441,15.2173913,8.048048368,9.048484848,17.33333333,2.240873814,-7,14,5.068733666,1.331784882,17.33892774,3.320599593,-13.30606061,7.166666667,2.721490232,-16.80769231,8.692307692,Middle Eastern
Edimilson Souza,1984,4,1031.261195,1,0,0,4081.445931,3,1,121,8.241758242,25,109.0101772,345,122.0819721,339,0,-35,0,-33,0,0,5.120879121,-22.45,91.51838432,388,17.42512623,85,0.066666667,-128,69.77160677,245,3.237837838,8,36.0007326,92,5.70525025,6.785667052,19.43020487,5.839925359,6.469679001,18.1465812,0,-11.26666667,18.73333333,6.135599055,8.833897237,21.30630037,5.577427977,20.63059676,26.97744361,0.033333333,-8.282828283,21.21717172,5.151877621,10.84222833,25.81923181,0.317117117,-15.86666667,10.83333333,7.429304029,0.278388278,10.37362637,South American
Lerone Murphy,1991,6,1079.45352,0,5,0,6161.464876,5,0,181,5.457324841,51,359.9610823,2031,484.5268553,2486,10.39689922,-74,4.933333333,74,0.066666667,0,25.62547211,130.7666667,230.5858885,1600,91.31782946,419,38.05736434,12,215.5146892,763,54.39379845,237,90.05259468,1031,5.493669674,9.194198495,47.15147008,6.016245014,6.717284935,39.2887059,2.888449612,10.30779221,62.95779221,4.993264643,11.06832949,55.4119091,4.626145744,-13.01312294,18.54817927,4.893565891,19.31666667,46.86666667,3.846557104,1.948285363,52.6682372,4.860631229,8.58982684,33.31601732,7.013412392,52.07294118,74.5,European
Phil Johns,1968,1,984.2141485,1,0,0,1004.650454,0,1,33,0,0,1.2,-1,3.6,3,0,-1,0,-1,0,0,0.16,-0.583333333,0,0,0.6,-1,0.6,0,0.6,-1,0.6,0,0,0,0.4,0.166666667,0.5,0.514285714,0.357142857,0.5,0,-0.5,0.5,0,0,1,0.6,0,0,0.3,-0.5,0,0.3,0.1,0.6,0.6,0,0,0,0,1,North American
CB Dollaway,1983,20,1027.094415,1,0,0,20393.83189,11,9,587,290.1333333,-448,9301.961515,-11337,13037.52418,9690,479.1042583,3005,209.6095724,-97,55.52397608,-23,641.7577458,3463.533333,6748.001471,-9599,1595.600575,81,958.3594685,-1819,5436.755465,-10823,735.4894377,4296,3129.716612,-4810,368.0032991,-209.2835783,1335.682207,399.5316831,-69.03059822,1226.456167,153.5911983,292.2380952,2059.666667,306.0385771,-173.7603042,1619.444356,219.2765508,-338.6252192,952.6670455,298.3842069,339.5487013,1039.382035,340.9792717,-210.4627783,1408.996099,181.9326697,-682.2904762,695.8333333,327.766537,-651.9785241,1266.658069,North American
Tristan Connelly,1985,3,987.0390196,2,0,0,3083.60266,1,2,107,0,-4,48.93333333,-77,96.86666667,-380,0.266666667,-47,0.066666667,-12,0,0,1.316666667,-93.96666667,34.86666667,-156,7.466666667,-14,6.6,93,30.46666667,48,14.6,-67,3.866666667,-58,0.473928205,-0.099053376,6.792023547,0.633476991,0.265607807,4.763452944,0.266666667,-1.7,8.3,0.397116122,-0.551478671,7.491779497,0.752564103,-1.397745358,1.313793103,0.933333333,11,11,0.400140305,0.827728421,8.82562384,0.691111111,-0.976470588,2.656862745,0.78627451,0.92745098,3.133333333,North American
Andre Pederneiras,1967,1,986.7551656,1,0,0,1060.429747,0,1,32,0,0,1.52284264,-3,2.588832487,-8,0,0,0,0,0,0,0.010152284,-1.533333333,0.456852792,-3,0.152284264,-4,0.913705584,4,0.609137056,-2,0.76142132,-2,0.152284264,1,0.080149613,0.21679198,0.69047619,0.09957048,0.190883191,0.537037037,0,0,1,0.045685279,0.1125,0.8125,0.076142132,-0.214285714,0.285714286,0.130529369,0.19047619,0.333333333,0.076142132,0.306451613,0.806451613,0.084602369,-0.080808081,0.363636364,0.076142132,0.5,1,South American
Joseph Holmes,1995,4,967.9552078,2,0,0,3964.984365,1,3,109,3.75,-12,118.2888999,-241,129.518774,-786,5.666167665,-16,3.75,-14,1.115702479,9,7.04479244,-43.95,59.84029049,-477,19.69368206,95,38.75492734,141,82.59186008,126,12.08133733,52,23.61570248,-419,4.560391461,3.948576754,14.78424763,4.659135222,2.842465642,12.8377675,4.708083832,-9,9,3.595607711,-2.421328418,15.12889783,6.029670126,22.32111529,29.20833333,5.655695519,10.11031746,13.22142857,4.262484901,6.056013156,17.96296296,5.726773725,12.19480519,21.28571429,3.37035124,-10.94324324,11.55675676,Black American
Josh Parisian,1989,6,968.4290298,2,0,0,5952.721912,2,4,196,0,-16,404.0838902,-675,570.6107183,-1932,7.883746556,-140,0,-41,0,0,11.54696703,-258.65,235.1938773,-1193,107.5216231,299,61.36838978,219,297.1011019,32,71.28030903,-573,35.70247934,-134,6.022788412,-13.53966728,35.943452,6.270650626,-17.48012213,29.10821911,2.359031877,-29.54220779,36.38636364,4.56824036,-17.59958282,41.04552585,10.87797962,-19.8293577,1.888888889,12.88494988,30.38888889,36,5.816690072,-6.796778854,44.89304043,6.573227817,-31.08439153,8.925925926,1.428099174,-34.16174962,45.31825038,North American
