Fighter,dob,totalfights,elo,losestreak,winstreak,titlewins,oppelo,wins,losses,avg age,KD,KD differential,Sig. str.,Sig. str. differential,Total str.,Total str. differential,Td,Td differential,Sub. att,Sub. att differential,Rev.,Rev. differential,Ctrl,Ctrl differential,Head,Head differential,Body,Body differential,Leg,Leg differential,Distance,Distance differential,Clinch,Clinch differential,Ground,Ground differential,Sig. str.%,Sig. str.% differential,Sig. str.% defense,Total str.%,Total str.% differential,Total str.% defense,Td%,Td% differential,Td% defense,Head%,Head% differential,Head% defense,Body%,Body% differential,Body% defense,Leg%,Leg% differential,Leg% defense,Distance%,Distance% differential,Distance% defense,Clinch%,Clinch% differential,Clinch% defense,Ground%,Ground% differential,Ground% defense,Ethnicity
Saparbeg Safarov,1986,4,972.3040873,1,0,0,4034.27203,1,3,129,0,-1,81.85496464,492,136.0927635,959,3.851282051,3,0,-20,0,0,7.825743806,71.36666667,56.73783136,428,8.378393123,7,16.73874016,57,45.09923598,132,5.730087634,-4,31.02564103,364,3.593713926,2.753390854,15.69082126,4.143785474,0.603129637,11.30145612,0.77025641,-9,14,2.366755343,0.733020619,17.41429475,7.09484882,21.34285714,21.74285714,7.025481731,14.3,16.1,3.424831251,9.388796064,23.96816114,0.976111652,1.490909091,22.99090909,1.048534799,-2.017857143,17.94642857,Dagestani
Jailton Almeida,1991,6,1094.461257,0,6,0,6202.719345,6,0,189,0,0,232.642737,1698,536.9436105,5178,29.03498667,322,17.40412849,191,1.44,36,80.1508419,984.85,213.5140184,1550,15.67191194,105,3.456806723,43,10.089534,103,4.32,72,218.233203,1523,8.507066783,16.96520855,47.53846154,9.968804794,13.439252,35.06060606,7.94713133,48.5,91,8.807904452,26.7973262,56.45454545,5.675955972,34.5,73,1.488403361,11,82,2.304660046,0.714285714,58.8,0.54,-22.5,55,10.43156899,47.96910244,69.14285714,South American
Louis Cosce,1995,2,969.4282015,2,0,0,2015.095765,0,2,52,0.078226858,1,10.4111256,-86,14.59608866,-141,0.344893525,-4,0.266666667,4,0,0,1.029100391,3.416666667,7.278574533,-44,1.738722295,-8,1.39382877,-34,6.937157757,-88,1.518296393,-5,1.955671447,7,0.107769899,-1.168125101,2.298660796,0.154446824,-1.081412338,1.690909091,0.27535854,1.511111111,2.4,0.080542367,-0.742844212,3.12564015,0.204701062,0.265546218,2.294117647,0.19952529,-2.153846154,0,0.095112583,-1.318138138,2.322222222,0.323558927,3.96969697,4.242424242,0.057519748,-0.014705882,4.25,North American
Marco Polo Reyes,1984,8,992.5219957,3,0,0,8039.266133,4,4,267,50.94442757,-6,1206.768271,-1595,1297.577332,-1978,0,-92,0,0,0,0,2.010919121,-129.9666667,733.1588719,-2053,303.1716555,170,170.4377434,288,1021.172201,35,149.4105851,-558,36.18548436,-1072,55.07564966,-27.50347027,90.04861966,57.01041405,-26.13952788,87.47944132,0,-30.41666667,173.5833333,26.55056051,-69.72195548,97.20940391,64.79128695,-27.43935434,66.41720779,93.85601146,79.5538961,114.3181818,48.05285114,-24.13932168,105.6188229,46.40668007,-95.45230769,25.64102564,26.02251746,-54.98157895,112.3684211,North American
Elias Garcia,1992,2,967.9711737,2,0,0,1982.570541,0,2,52,0.266666667,0,6.980952381,-286,11.19047619,-533,0.266666667,2,0.533333333,7,0.266666667,0,0.124444444,-38.35,4.323809524,-258,0.695238095,-33,1.961904762,5,6.428571429,-72,0.552380952,3,0,-217,0.108712039,-1.272201907,2.499233912,0.146331738,-1.405473323,2.016091954,0.038095238,-0.095238095,4.333333333,0.075550817,-1.428720406,2.628493524,0.204761905,-1.439393939,1.060606061,0.252380952,-0.666666667,1.5,0.102258852,-0.949499687,2.890243902,0.40952381,4.4,4.4,0,-3.208333333,1.791666667,North American
Chris Beal,1985,5,979.3213401,3,0,0,4956.418019,2,3,149,0.145985401,1,227.5011952,545,288.3641988,-154,4.133333333,10,0.266666667,-82,1.933333333,7,10.80217436,50.38333333,197.9445576,797,26.74398545,53,2.812652068,-305,184.2286891,427,14.40583942,44,28.86666667,74,1.437159376,-0.975476291,33.82757763,1.67767819,-2.276056182,28.92490265,1.033333333,6.484126984,45.98412698,1.33124238,0.167798502,36.47565731,2.679277203,-3.17518797,14.07719298,1.012652068,-18.14942529,22.85057471,1.223544825,-2.062184924,35.80101854,1.177291757,-0.297121008,37.73232323,1.210793651,-28.31309524,8.525,North American
Bryan Battle,1994,6,1056.187153,0,2,0,5992.784687,5,1,169,119.4155844,18,616.6792265,271,711.0880361,85,4.180821477,-81,3.914154811,33,0,0,20.06041162,-112.2166667,420.9836554,-367,169.4428101,1080,26.25276103,-442,432.7704985,447,64.3552126,345,119.5535155,-521,46.8569993,-4.773498657,45.49318885,47.43975775,1.252344211,43.58787377,2.059376256,4.055555556,75.55555556,45.5076178,3.990759024,64.25285175,11.24296065,-35.50530279,17.98573975,16.26147416,-21.25,15.75,42.02424756,-9.739478927,44.54146309,3.528253779,-0.466819222,55.88405797,59.84572324,3.365079365,76.36507937,North American
Daniel Barez,1988,1,983.3605904,1,0,0,986.1079983,0,1,35,0.291262136,1,5.242718447,-3,5.242718447,-5,0,-1,0,-1,0,0,0.058252427,-0.716666667,2.330097087,-3,2.038834951,-1,0.873786408,1,5.242718447,-3,0,0,0,0,0.174757282,0.211111111,0.611111111,0.174757282,0.229032258,0.629032258,0,-0.25,0.75,0.137064535,0.195588235,0.725,0.226537217,-0.111111111,0.111111111,0.218446602,0.35,0.6,0.194174757,0.277777778,0.611111111,0,0,1,0,0,1,European
Dominick Cruz,1985,10,1072.737662,1,0,4,10734.19541,7,3,318,1,-477,2159.242796,7766,2369.783496,9539,50.53009322,479,0.16,4,1.04,26,25.01509375,274.3833333,1474.309484,6904,336.6258385,1334,348.3074733,-472,1885.711492,8058,57.00536351,-159,216.5259402,-133,15.72792455,-6.106268039,229.1184813,16.19848062,-4.147639494,222.9273892,12.81154435,53.90574046,359.1666667,13.5790755,-1.669305856,265.363269,14.37109903,-5.32319573,156.2547304,21.37618941,18.65120301,63.09857143,12.88553192,-7.465245116,233.7600334,15.35516782,0.290769231,151.6753846,19.29074888,72.88161838,253.9090909,North American
Marcin Prachnio,1988,8,974.8009309,1,0,0,7983.621448,3,5,262,4.213483146,10,1112.410538,5922,1690.67037,10533,0,-426,0,-128,0,0,7.705916448,-664.3833333,315.3942913,-1029,337.3834079,2380,459.6328385,4571,942.829372,5895,167.1811656,1416,2.4,-1389,12.51048495,27.49000418,110.7802102,13.8600824,32.49634493,100.4853451,0,-81.75757576,122.2424242,6.689924663,0.483890267,135.5983469,14.46372664,-12.02688361,51.99217172,18.74257307,23.60581456,45.8,11.8525903,31.67414706,121.4556289,12.83438409,-0.333638584,85.87350427,2.4,-69.98701299,98.01298701,European
