fighter_name,reason
Andrey Pulyaev,Mask DOB/age features after all-seven DOB backfill caused one-year rolling PnL regression
Brando Pericic,Mask DOB/age features after all-seven DOB backfill caused one-year rolling PnL regression
Chris Padilla,Mask DOB/age features after all-seven DOB backfill caused one-year rolling PnL regression
Jose Ochoa,Mask DOB/age features after all-seven DOB backfill caused one-year rolling PnL regression
Josh Hokit,Mask DOB/age features after all-seven DOB backfill caused one-year rolling PnL regression
Kaan Ofli,Mask DOB/age features after all-seven DOB backfill caused one-year rolling PnL regression
Myktybek Orolbai,Mask DOB/age features after all-seven DOB backfill caused one-year rolling PnL regression
