Title,Winner,Loser,Draw,Method,Round,Time,Time Format,Referee,Details,Date,Red Fighter,Red KD,Red Sig. str.,Red Total str.,Red Td,Red Sub. att,Red Rev.,Red Ctrl,Red Head,Red Body,Red Leg,Red Distance,Red Clinch,Red Ground,Blue Fighter,Blue KD,Blue Sig. str.,Blue Total str.,Blue Td,Blue Sub. att,Blue Rev.,Blue Ctrl,Blue Head,Blue Body,Blue Leg,Blue Distance,Blue Clinch,Blue Ground,Red Sig. str.%,Red Total str.%,Red Td%,Red Head%,Red Body%,Red Leg%,Red Distance%,Red Clinch%,Red Ground%,Blue Sig. str.%,Blue Total str.%,Blue Td%,Blue Head%,Blue Body%,Blue Leg%,Blue Distance%,Blue Clinch%,Blue Ground%
Bantamweight Bout,Song Yadong,Chris Gutierrez,False,Decision - Unanimous,5,5.0,,Herb Dean,,"December 09, 2023",Song Yadong,0.0,77.0,160.0,2.0,0.0,0.0,11.016666666666667,35.0,12.0,30.0,49.0,4.0,24.0,Chris Gutierrez,0.0,87.0,105.0,0.0,0.0,0.0,0.0,8.0,3.0,76.0,87.0,0.0,0.0,0.4666666666666667,0.5653710247349824,0.6666666666666666,0.35,0.6,0.6666666666666666,0.3858267716535433,0.6666666666666666,0.75,0.6,0.6363636363636364,0.0,0.20512820512820512,0.2,0.8351648351648352,0.6,0.0,0.0
Light Heavyweight Bout,Khalil Rountree Jr.,Anthony Smith,False,KO/TKO,3,0.9333333333333333,,Mark Smith,,"December 09, 2023",Anthony Smith,0.0,47.0,52.0,0.0,0.0,0.0,0.18333333333333332,27.0,14.0,6.0,46.0,1.0,0.0,Khalil Rountree Jr.,1.0,53.0,56.0,0.0,0.0,0.0,0.9666666666666667,33.0,14.0,6.0,51.0,1.0,1.0,0.5595238095238095,0.5842696629213483,0.0,0.43548387096774194,0.875,1.0,0.5542168674698795,1.0,0.0,0.4649122807017544,0.4745762711864407,0.0,0.35106382978723405,1.0,1.0,0.46788990825688076,0.3333333333333333,0.5
Lightweight Bout,Nasrat Haqparast,Jamie Mullarkey,False,KO/TKO,1,1.7333333333333334,,Keith Peterson,,"December 09, 2023",Nasrat Haqparast,2.0,16.0,18.0,0.0,0.0,0.0,0.08333333333333333,14.0,2.0,0.0,4.0,6.0,6.0,Jamie Mullarkey,0.0,8.0,8.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,8.0,0.0,0.0,0.5517241379310345,0.5806451612903226,0.0,0.5185185185185185,1.0,0.0,0.3076923076923077,0.75,0.75,0.34782608695652173,0.34782608695652173,0.0,0.1875,0.5,1.0,0.34782608695652173,0.0,0.0
Bantamweight Bout,Tim Elliott,Sumudaerji,False,Submission,1,4.033333333333333,,Herb Dean,,"December 09, 2023",Tim Elliott,0.0,10.0,26.0,1.0,1.0,0.0,2.0833333333333335,6.0,0.0,4.0,8.0,2.0,0.0,Sumudaerji,0.0,10.0,10.0,0.0,0.0,0.0,0.0,6.0,3.0,1.0,10.0,0.0,0.0,0.47619047619047616,0.7027027027027027,0.3333333333333333,0.46153846153846156,0.0,0.5714285714285714,0.4444444444444444,1.0,0.0,0.4,0.4,0.0,0.3157894736842105,0.75,0.5,0.4,0.0,0.0
Middleweight Bout,Andre Muniz,JunYong Park,False,Decision - Split,3,5.0,,Chris Tognoni,,"December 09, 2023",JunYong Park,0.0,27.0,52.0,0.0,0.0,2.0,2.966666666666667,21.0,3.0,3.0,11.0,0.0,16.0,Andre Muniz,0.0,14.0,35.0,11.0,0.0,1.0,9.566666666666666,10.0,3.0,1.0,13.0,0.0,1.0,0.45,0.5416666666666666,0.0,0.3888888888888889,1.0,1.0,0.44,0.0,0.45714285714285713,0.4666666666666667,0.5833333333333334,0.7857142857142857,0.4,0.75,1.0,0.4482758620689655,0.0,1.0
Welterweight Bout,Kevin Jousset,Song Kenan,False,Decision - Unanimous,3,5.0,,Mark Smith,,"December 09, 2023",Song Kenan,0.0,62.0,88.0,0.0,0.0,0.0,0.0,43.0,8.0,11.0,55.0,7.0,0.0,Kevin Jousset,0.0,134.0,158.0,1.0,0.0,0.0,1.4333333333333333,78.0,15.0,41.0,121.0,13.0,0.0,0.3974358974358974,0.46808510638297873,0.0,0.3359375,0.8,0.6111111111111112,0.3793103448275862,0.6363636363636364,0.0,0.5702127659574469,0.6007604562737643,0.5,0.45614035087719296,0.75,0.9318181818181818,0.5525114155251142,0.8125,0.0
Flyweight Bout,HyunSung Park,Shannon Ross,False,KO/TKO,2,3.9833333333333334,,Keith Peterson,,"December 09, 2023",HyunSung Park,2.0,50.0,65.0,0.0,0.0,0.0,3.35,33.0,11.0,6.0,36.0,6.0,8.0,Shannon Ross,0.0,47.0,61.0,0.0,0.0,0.0,0.0,25.0,9.0,13.0,46.0,1.0,0.0,0.4032258064516129,0.42207792207792205,0.0,0.32673267326732675,0.7333333333333333,0.75,0.4090909090909091,0.42857142857142855,0.36363636363636365,0.40869565217391307,0.45185185185185184,0.0,0.2840909090909091,0.75,0.8666666666666667,0.42990654205607476,0.125,0.0
Lightweight Bout,Steve Garcia,Melquizael Costa,False,KO/TKO,2,1.0166666666666666,,Chris Tognoni,,"December 09, 2023",Steve Garcia,1.0,29.0,41.0,0.0,1.0,0.0,0.7666666666666667,26.0,2.0,1.0,4.0,3.0,22.0,Melquizael Costa,0.0,6.0,20.0,2.0,0.0,0.0,4.683333333333334,1.0,2.0,3.0,2.0,4.0,0.0,0.5918367346938775,0.6212121212121212,0.0,0.5777777777777777,0.6666666666666666,1.0,0.4,0.375,0.7096774193548387,0.6,0.8,0.2,0.2,1.0,1.0,0.6666666666666666,0.5714285714285714,0.0
Flyweight Bout,Tatsuro Taira,Carlos Hernandez,False,KO/TKO,2,0.9166666666666666,,Mark Smith,,"December 09, 2023",Tatsuro Taira,1.0,33.0,44.0,0.0,0.0,0.0,3.6,30.0,1.0,2.0,7.0,0.0,26.0,Carlos Hernandez,0.0,2.0,2.0,0.0,0.0,0.0,0.8833333333333333,2.0,0.0,0.0,2.0,0.0,0.0,0.7674418604651163,0.7333333333333333,0.0,0.75,1.0,1.0,0.875,0.0,0.7647058823529411,0.5,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0
Lightweight Bout,Arman Tsarukyan,Beneil Dariush,False,KO/TKO,1,1.0666666666666667,,Mark Smith,,"December 02, 2023",Beneil Dariush,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,Arman Tsarukyan,1.0,8.0,8.0,0.0,0.0,0.0,0.05,8.0,0.0,0.0,4.0,2.0,2.0,0.25,0.25,0.0,0.0,0.0,1.0,0.25,0.0,0.0,0.5333333333333333,0.5333333333333333,0.0,0.5333333333333333,0.0,0.0,0.4,1.0,0.6666666666666666
