id,event,date,fighter_name,fighter_weight,fighter_height,fighter_reach,fighter_dob,fighter_kd_differential,fighter_str_differential,fighter_td_differential,fighter_sub_differential,fighter_winrate,fighter_winstreak,fighter_totalfights,fighter_totalwins,fighter_record,fighter_titlefights,fighter_opponentexp,opponent_name,opponent_weight,opponent_height,opponent_reach,opponent_dob,opponent_kd_differential,opponent_str_differential,opponent_td_differential,opponent_sub_differential,opponent_winrate,opponent_winstreak,opponent_totalfights,opponent_totalwins,opponent_record,opponent_titlefights,opponent_opponentexp,result,method,round,time
7979,UFC Fight Night: Jacare vs. Hermansson,"Apr. 27, 2019",Ben Saunders,170 lbs.,"6' 2""","77""","Apr 13, 1983",-0.35294117647058826,-3.0588235294117645,-0.7058823529411765,0.17647058823529413,0.5294117647058824,0,17,9,22-13-2,0,0.46624260672248286,Takashi Sato,,,,,,,,,,,,,,,,loss,KO/TKO,2,1:18
7980,Strikeforce - Tate vs. Rousey,"Mar. 03, 2012",Lumumba Sayers,185 lbs.,"6' 0""",--,"Jun 30, 1978",1,4,0,0,1.0,1,1,1,6-5-0,0,0.3333333333333333,Scott Smith,185 lbs.,"6' 0""","70""","May 21, 1979",-0.21428571428571427,-33.857142857142854,-0.5,-0.2857142857142857,0.35714285714285715,0,14,5,18-11-0 (1 NC),1,0.3968253968253968,win,SUB,1,1:34
7981,Strikeforce - Rousey vs Kaufman,"Aug. 18, 2012",Lumumba Sayers,185 lbs.,"6' 0""",--,"Jun 30, 1978",0.5,6,1,0.5,1.0,2,2,2,6-5-0,0,0.34523809523809523,Anthony Smith,205 lbs.,"6' 4""","76""","Jul 26, 1988",-1,-12,-1,0,0.0,0,1,0,37-18-0,0,0.3968253968253968,loss,SUB,1,3:52
7982,UFC 136: Edgar vs Maynard 3,"Oct. 08, 2011",Eric Schafer,185 lbs.,"6' 3""","76""","Sep 20, 1977",-0.2857142857142857,-9.571428571428571,0.14285714285714285,1.1428571428571428,0.42857142857142855,0,7,3,14-8-2,0,0.5952380952380952,Aaron Simpson,170 lbs.,"6' 0""","73""","Jul 20, 1974",0.375,7.75,2.75,0.125,0.75,2,8,6,12-5-0,0,0.5981481481481482,loss,U-DEC,3,5:00
7983,UFC 116: Lesnar vs Carwin,"Jul. 03, 2010",Brendan Schaub,245 lbs.,"6' 4""","78""","Mar 18, 1983",0,13.5,-0.5,0,0.5,1,2,1,10-5-0,1,0.0,Chris Tuchscherer,258 lbs.,"6' 2""","76""","Sep 08, 1975",-0.5,-16,0,0,0.5,1,2,1,21-4-0 (1 NC),0,0.543082741288483,win,KO/TKO,1,1:07
7984,PRIDE 26: Bad to the Bone,"Jun. 08, 2003",Antonio Schembri,205 lbs.,"5' 9""",--,"Jun 01, 1974",0.5,-7,1,0.5,1.0,2,2,2,5-5-0,0,0.35,Kazuhiro Hamanaka,,,,,,,,,,,,,,,,loss,U-DEC,3,5:00
7985,PRIDE 16: Beasts from the East,"Sep. 24, 2001",Semmy Schilt,265 lbs.,"6' 10""",--,"Oct 27, 1973",1,0,-1,-0.5,0.5,0,2,1,26-14-1,0,0.55,Akira Shoji,195 lbs.,"5' 8""",--,"Jan 31, 1974",0,-9.153846153846153,0.15384615384615385,-0.07692307692307693,0.5384615384615384,0,13,7,14-17-5,0,0.42051282051282046,win,KO/TKO,1,8:19
7986,PRIDE 18: Cold Fury 2,"Dec. 23, 2001",Semmy Schilt,265 lbs.,"6' 10""",--,"Oct 27, 1973",1.25,4.75,-0.75,-0.25,0.75,2,4,3,26-14-1,0,0.4512820512820513,Yoshihiro Takayama,280 lbs.,"6' 5""",--,"Sep 19, 1968",0,-11,-4,-1,0.0,0,1,0,1-4-0,0,0.42051282051282046,win,KO/TKO,1,3:00
7987,PRIDE 21: Demolition,"Jun. 23, 2002",Semmy Schilt,265 lbs.,"6' 10""",--,"Oct 27, 1973",1.2,6,-0.8,0.2,0.8,3,5,4,26-14-1,0,0.36102564102564105,Fedor Emelianenko,,,,,,,,,,,,,,,,loss,U-DEC,3,5:00
7988,Dynamite!! 2008,"Dec. 31, 2008",Semmy Schilt,265 lbs.,"6' 10""",--,"Oct 27, 1973",0.6666666666666666,-1.1111111111111112,-1,-0.1111111111111111,0.5555555555555556,0,9,5,26-14-1,0,0.46723646723646717,Siala Siliga,,,,,,,,,,,,,,,,win,SUB,1,5:31
