id,event,date,fighter_name,fighter_weight,fighter_height,fighter_reach,fighter_dob,fighter_kd_differential,fighter_str_differential,fighter_td_differential,fighter_sub_differential,fighter_winrate,fighter_winstreak,fighter_losestreak,fighter_totalfights,fighter_totalwins,fighter_record,fighter_titlefights,fighter_titlewins,fighter_age_deviation,fighter_elo,fighter_opp_avg_elo,fighter_kowin,fighter_koloss,fighter_subwin,fighter_subloss,fighter_udecwin,fighter_udecloss,fighter_sdecwin,fighter_sdecloss,fighter_mdecwin,fighter_mdecloss,opponent_name,opponent_weight,opponent_height,opponent_reach,opponent_dob,opponent_kd_differential,opponent_str_differential,opponent_td_differential,opponent_sub_differential,opponent_winrate,opponent_winstreak,opponent_losestreak,opponent_totalfights,opponent_totalwins,opponent_record,opponent_titlefights,opponent_titlewins,opponent_age_deviation,opponent_elo,opponent_opp_avg_elo,opponent_kowin,opponent_koloss,opponent_subwin,opponent_subloss,opponent_udecwin,opponent_udecloss,opponent_sdecwin,opponent_sdecloss,opponent_mdecwin,opponent_mdecloss,result,method,round,time
,,unknown,Dustin Jacoby,,,,"Apr 04, 1988",0.15384615384615385,18.0,-1.0,-0.15384615384615385,0.6153846153846154,2,0,26,16,,0,0,3781,1107.7917353195994,1023.4777970951073,4,4,1,1,6,6,1,1,0,0,Alonzo Menifield,,,,"Oct 18, 1987",0.15384615384615385,4.6923076923076925,-0.5384615384615384,-0.07692307692307693,0.6923076923076923,6,0,26,18,,0,0,3922,1135.2822058315091,1020.4825855476944,7,7,2,2,3,3,0,0,0,0,unknown,,,
,,unknown,Irene Aldana,,,,"Mar 26, 1988",0.16666666666666666,-12.416666666666666,-1.1666666666666667,0.25,0.5833333333333334,0,2,24,14,,2,0,3734,1097.0919972783927,1055.0485891289597,3,3,1,1,5,5,3,3,0,0,Karol Rosa,,,,"Dec 30, 1994",0.125,19.0,0.625,0.0,0.75,2,0,16,12,,0,0,1285,1087.570483885425,1002.9819016383084,0,0,0,0,5,5,2,2,1,1,unknown,,,
,,unknown,Karol Rosa,,,,"Dec 30, 1994",0.125,19.0,0.625,0.0,0.75,2,0,16,12,,0,0,1285,1087.570483885425,1002.9819016383084,0,0,0,0,5,5,2,2,1,1,Irene Aldana,,,,"Mar 26, 1988",0.16666666666666666,-12.416666666666666,-1.1666666666666667,0.25,0.5833333333333334,0,2,24,14,,2,0,3734,1097.0919972783927,1055.0485891289597,3,3,1,1,5,5,3,3,0,0,unknown,,,
,,unknown,Cody Garbrandt,,,,"Jul 07, 1991",0.23076923076923078,-9.153846153846153,0.5384615384615384,-0.07692307692307693,0.6153846153846154,2,0,26,16,,6,2,2438,1103.2514661143293,1114.0807178091623,9,9,0,0,4,4,0,0,0,0,Brian Kelleher,,,,"Aug 19, 1986",0.06666666666666667,-10.533333333333333,0.06666666666666667,-0.06666666666666667,0.5333333333333333,0,4,30,16,,0,0,3969,1030.6951927930604,1053.5722470894855,3,3,7,7,5,5,0,0,0,0,unknown,,,
,,unknown,Brian Kelleher,,,,"Aug 19, 1986",0.06666666666666667,-10.533333333333333,0.06666666666666667,-0.06666666666666667,0.5333333333333333,0,4,30,16,,0,0,3969,1030.6951927930604,1053.5722470894855,3,3,7,7,5,5,0,0,0,0,Cody Garbrandt,,,,"Jul 07, 1991",0.23076923076923078,-9.153846153846153,0.5384615384615384,-0.07692307692307693,0.6153846153846154,2,0,26,16,,6,2,2438,1103.2514661143293,1114.0807178091623,9,9,0,0,4,4,0,0,0,0,unknown,,,
,,unknown,Ariane Lipski,,,,"Jan 26, 1994",0.2,-2.9,-0.4,-0.2,0.5,4,0,20,10,,0,0,1623,1036.612301368115,1021.3473857470029,3,3,1,1,5,5,1,1,0,0,Casey O'Neill,,,,"Oct 07, 1997",0.0,35.2,0.8,0.6,0.8,0,2,10,8,,0,0,168,1066.1301810437494,983.6402960779087,2,2,1,1,1,1,1,1,0,0,unknown,,,
,,unknown,Casey O'Neill,,,,"Oct 07, 1997",0.0,35.2,0.8,0.6,0.8,0,2,10,8,,0,0,168,1066.1301810437494,983.6402960779087,2,2,1,1,1,1,1,1,0,0,Ariane Lipski,,,,"Jan 26, 1994",0.2,-2.9,-0.4,-0.2,0.5,4,0,20,10,,0,0,1623,1036.612301368115,1021.3473857470029,3,3,1,1,5,5,1,1,0,0,unknown,,,
,,unknown,Tagir Ulanbekov,,,,"Aug 07, 1991",-0.25,0.75,1.25,0.25,0.75,2,0,8,6,,0,0,2288,1050.1300931114044,983.1127427343531,0,0,1,1,2,2,1,1,0,0,Cody Durden,,,,"Mar 29, 1991",0.0,2.0,3.375,-0.75,0.625,8,0,16,10,,0,0,2692,1091.0196200812336,998.5835854357998,1,1,2,2,4,4,0,0,0,0,unknown,,,
,,unknown,Cody Durden,,,,"Mar 29, 1991",0.0,2.0,3.375,-0.75,0.625,8,0,16,10,,0,0,2692,1091.0196200812336,998.5835854357998,1,1,2,2,4,4,0,0,0,0,Tagir Ulanbekov,,,,"Aug 07, 1991",-0.25,0.75,1.25,0.25,0.75,2,0,8,6,,0,0,2288,1050.1300931114044,983.1127427343531,0,0,1,1,2,2,1,1,0,0,unknown,,,
,,unknown,Andre Fili,,,,"Jun 25, 1990",0.0,-3.4,0.6,-0.15,0.5,0,2,40,20,,0,0,2955,1031.6868735379521,1042.291424058561,5,5,2,2,8,8,4,4,0,0,Lucas Almeida,,,,"Jan 31, 1991",0.3333333333333333,0.0,-1.0,-0.3333333333333333,0.3333333333333333,0,2,6,2,,0,0,2700,981.4289019713685,1042.5242023749943,1,1,1,1,1,1,0,0,0,0,unknown,,,
