Red Fighter,Blue Fighter,Predicted Result,Probability
Marcos Rogerio de Lima,Ben Rothwell,loss,0.5796670412604269
Yair Rodriguez,Max Holloway,win,0.6561618493957893
Loopy Godinez,Loma Lookboonmee,win,0.6435847880524339
Adrian Yanez,Davey Grant,loss,0.5313650159260184
Kyung Ho Kang,Rani Yahya,win,0.5602407755019261
Joanne Wood,Taila Santos,loss,0.7246100513214787
Sean Brady,Michael Chiesa,win,0.8138760530488602
Ketlen Vieira,Miesha Tate,loss,0.6519888674125064
Louis Smolka,Vince Morales,win,0.6315081970716621
Chris Gruetzemacher,Claudio Puelles,loss,0.6479736663522995
Alonzo Menifield,William Knight,win,0.5598613776423278
Mallory Martin,Cheyanne Vlismas,loss,0.6664405213517804
Zhalgas Zhumagulov,Manel Kape,loss,0.6472038580686832
Dusko Todorovic,Maki Pitolo,loss,0.6314709056551314
Alex Morono,Mickey Gall,win,0.6597785321487056
Leonardo Santos,Clay Guida,win,0.7291146979010479
Jamahal Hill,Jimmy Crute,loss,0.5830454846987674
Brad Riddell,Rafael Fiziev,win,0.612884650356968
Rob Font,Jose Aldo,win,0.737602247940364
Priscila Cachoeira,Gillian Robertson,loss,0.7314678232513553
Randy Costa,Tony Kelley,loss,0.5438072588979137
Ryan Hall,Darrick Minner,win,0.5307022753317157
Eryk Anders,Andre Muniz,win,0.518952578546074
Bruno Silva,Jordan Wright,win,0.5427660242001558
Tai Tuivasa,Augusto Sakai,win,0.6897436902998999
Pedro Munhoz,Dominick Cruz,loss,0.7038156339777679
Josh Emmett,Dan Ige,win,0.6351396342917471
Raulian Paiva,Sean O'Malley,loss,0.7208740554162816
Cody Garbrandt,Kai Kara-France,loss,0.5650410813907369
Santiago Ponzinibbio,Geoff Neal,win,0.6376607237059713
Amanda Nunes,Julianna Pena,win,0.9033932298391821
Charles Oliveira,Dustin Poirier,win,0.5936980087228353
Matt Sayles,Jordan Leavitt,loss,0.5063483261293251
Josh Parisian,Don'Tale Mayes,win,0.728382547755131
Raquel Pennington,Macy Chiasson,loss,0.5016344536190496
Charles Jourdain,Andre Ewell,win,0.5625576118344549
Gerald Meerschaert,Dustin Stoltzfus,loss,0.5826140936395295
Darren Elkins,Cub Swanson,loss,0.6891952829100407
Mateusz Gamrot,Diego Ferreira,loss,0.5657957245621835
Raphael Assuncao,Ricky Simon,loss,0.7868733340861807
Amanda Lemos,Angela Hill,win,0.6139640506867158
Stephen Thompson,Belal Muhammad,loss,0.7012221807044198
Chris Daukaus,Derrick Lewis,win,0.7084729982893808
Charles Rosa,TJ Brown,loss,0.5997856103138766
Kevin Croom,Brian Kelleher,loss,0.7402955284173859
Ramiz Brahimaj,Court McGee,loss,0.6926619198596451
Jennifer Maia,Katlyn Cerminara,loss,0.546365505489007
Rogerio Bontorin,Brandon Royval,win,0.5106450965518632
Jake Collier,Chase Sherman,win,0.6515134405818677
Giga Chikadze,Calvin Kattar,win,0.7833167641997986
Cody Stamann,Said Nurmagomedov,loss,0.5005941993578806
Brandon Moreno,Deiveson Figueiredo,win,0.5545076087077995
Francis Ngannou,Ciryl Gane,loss,0.8198152897275902
Phil Rowe,Jason Witt,loss,0.6996625307265875
Julija Stoliarenko,Alexis Davis,loss,0.5613282109738212
Michael Trizano,Hakeem Dawodu,loss,0.6293768900447037
John Castaneda,Miles Johns,loss,0.8269796260338986
Steven Peterson,Julian Erosa,loss,0.481972949938732
Brendan Allen,Sam Alvey,win,0.7535653982009143
Carlston Harris,Shavkat Rakhmonov,win,0.7651836431719199
Jack Hermansson,Sean Strickland,loss,0.7511875147885868
William Knight,Maxim Grishin,win,0.6619592236403381
Douglas Silva de Andrade,Sergey Morozov,loss,0.6042329686149783
Casey O'Neill,Roxanne Modafferi,win,0.8230151489923823
Jared Vanderaa,Andrei Arlovski,win,0.4911021674349547
Nasrat Haqparast,Bobby Green,loss,0.7105372585565234
Alexander Hernandez,Renato Moicano,win,0.5687725153052696
Derek Brunson,Jared Cannonier,win,0.6856935560262273
Tai Tuivasa,Derrick Lewis,win,0.49830511240685754
Israel Adesanya,Robert Whittaker,loss,0.665981262140093
Diana Belbita,Gloria de Paula,win,0.7574878674070774
Jessica-Rose Clark,Stephanie Egger,win,0.6829125768343786
Abdul Razak Alhassan,Joaquin Buckley,loss,0.7011642503791463
Parker Porter,Alan Baudot,win,0.5983903057135019
Jamie Pickett,Kyle Daukaus,loss,0.6097162113362269
Jamahal Hill,Johnny Walker,win,0.5829051678166397
Alejandro Perez,Jonathan Martinez,loss,0.5018198162224705
Rongzhu,Ignacio Bahamondes,loss,0.6182928264043923
Arman Tsarukyan,Joel Alvarez,win,0.8237695767817194
Ji Yeon Kim,Priscila Cachoeira,win,0.543220406415092
Misha Cirkunov,Wellington Turman,win,0.5745781780374443
Islam Makhachev,Bobby Green,win,0.9349929495102478
Michal Oleksiejczuk,Dustin Jacoby,win,0.6493937570644226
Devonte Smith,Ludovit Klein,loss,0.5014154861717453
Tagir Ulanbekov,Tim Elliott,loss,0.7181186678177152
Maryna Moroz,Mariya Agapova,win,0.5366367585009073
Kennedy Nzechukwu,Nicolae Negumereanu,win,0.6500939803867987
Marina Rodriguez,Yan Xiaonan,loss,0.5348593993353162
Jalin Turner,Jamie Mullarkey,loss,0.547589717933085
Serghei Spivac,Greg Hardy,loss,0.6082287610991907
Kevin Holland,Alex Oliveira,win,0.8464474538130438
Edson Barboza,Bryce Mitchell,loss,0.868416543289016
Renato Moicano,Rafael Dos Anjos,win,0.6431697618081165
Colby Covington,Jorge Masvidal,win,0.4943976383984446
Sabina Mazo,Miranda Maverick,loss,0.7240698914408188
Gillian Robertson,JJ Aldrich,win,0.5747939501759574
Terrance McKinney,Drew Dober,win,0.6018203956968913
Khalil Rountree Jr.,Karl Roberson,loss,0.6222346160645452
Alex Caceres,Sodiq Yusuff,loss,0.7421426707677058
Song Yadong,Marlon Moraes,loss,0.5118336957676516
Thiago Santos,Magomed Ankalaev,loss,0.6215530704834479
Jack Shore,Timur Valiev,loss,0.5665588407893204
Nikita Krylov,Paul Craig,loss,0.562554426256296
Shamil Abdurakhimov,Sergei Pavlovich,loss,0.6983707489165547
Mike Grundy,Makwan Amirkhani,loss,0.5097520205853522
Ilia Topuria,Jai Herbert,win,0.7395956188227176
Molly McCann,Luana Carolina,loss,0.5349836697557956
Gunnar Nelson,Takashi Sato,win,0.6192459387901357
Arnold Allen,Dan Hooker,loss,0.4987183740707048
Alexander Volkov,Tom Aspinall,loss,0.7056219710114574
Matheus Nicolau,David Dvorak,win,0.5869162772163488
Manon Fiorot,Jennifer Maia,win,0.8071611596725735
Batgerel Danaa,Chris Gutierrez,loss,0.5393365991676904
Karol Rosa,Sara McMann,win,0.581811754623588
Max Griffin,Neil Magny,loss,0.6607147755633649
Kai Kara-France,Askar Askarov,win,0.5407157706655047
Bryan Barberena,Matt Brown,loss,0.6537551905785188
Joanne Wood,Alexa Grasso,loss,0.6221984889530123
Chris Daukaus,Curtis Blaydes,win,0.5602483672510613
Jared Vanderaa,Aleksei Oleinik,loss,0.5930681350690806
Aspen Ladd,Raquel Pennington,loss,0.5110358076564104
Vinc Pichel,Mark Madsen,win,0.5889888578857116
Mackenzie Dern,Tecia Torres,win,0.5900258253881441
Khamzat Chimaev,Gilbert Burns,win,0.5668530839854362
