id,event,date,fighter_name,fighter_weight,fighter_height,fighter_reach,fighter_dob,fighter_kd_differential,fighter_str_differential,fighter_td_differential,fighter_sub_differential,fighter_winrate,fighter_winstreak,fighter_losestreak,fighter_totalfights,fighter_totalwins,fighter_record,fighter_titlefights,fighter_titlewins,fighter_age_deviation,fighter_elo,fighter_opp_avg_elo,opponent_name,opponent_weight,opponent_height,opponent_reach,opponent_dob,opponent_kd_differential,opponent_str_differential,opponent_td_differential,opponent_sub_differential,opponent_winrate,opponent_winstreak,opponent_losestreak,opponent_totalfights,opponent_totalwins,opponent_record,opponent_titlefights,opponent_titlewins,opponent_age_deviation,opponent_elo,opponent_opp_avg_elo,result,method,round,time
14,UFC 2: No Way Out,"Mar. 11, 1994",Scott Morris,210 lbs.,"5' 10""",--,--,0,1,1,1,1.0,1,0,1,1,2-1-0,0,0,1825.0,1016.0,984.0,Patrick Smith,225 lbs.,"6' 2""",--,"Aug 28, 1963",0,1,-1,-1.3333333333333333,0.0,0,3,3,0,20-17-0,1,0,2028.0,956.9494693461095,1035.4738860238333,loss,KO/TKO,1,0:30
15,UFC 2: No Way Out,"Mar. 11, 1994",Scott Morris,210 lbs.,"5' 10""",--,--,0,-6,0.5,0.5,0.5,0,1,2,1,2-1-0,0,0,1825.0,997.306508186541,979.8214805797843,Sean Daugherty,175 lbs.,"6' 0""",--,"Dec 04, 1975",0,-1,-1,-1,0.0,0,1,1,0,0-2-0,0,0,2453.0,984.0,1016.0,win,SUB,1,0:20
16,UFC 2: No Way Out,"Mar. 11, 1994",Remco Pardoel,260 lbs.,"6' 3""",--,--,0,1.5,0,0,0.5,1,0,2,1,9-6-1 (2 NC),0,0,1825.0,1005.3936281023211,1052.0497601330405,Royce Gracie,175 lbs.,"6' 1""",--,"Dec 12, 1966",0,0.2727272727272727,0.6363636363636364,0.9090909090909091,1.0,11,0,11,11,15-2-3,3,3,826.0,1141.0746559705694,986.3220764489677,loss,SUB,1,1:31
17,UFC 2: No Way Out,"Mar. 11, 1994",Remco Pardoel,260 lbs.,"6' 3""",--,--,0,1,-0.3333333333333333,-0.3333333333333333,0.3333333333333333,0,1,3,1,9-6-1 (2 NC),0,0,1825.0,995.3425821332952,1085.075074068559,Orlando Wiet,170 lbs.,"5' 10""",--,--,0,6,-1,-1,1.0,1,0,1,1,1-5-0,0,0,1825.0,1016.0,984.0,win,KO/TKO,1,1:29
18,UFC 2: No Way Out,"Mar. 11, 1994",Remco Pardoel,260 lbs.,"6' 3""",--,--,0,2.25,0,-0.25,0.5,1,0,4,2,9-6-1 (2 NC),0,0,1825.0,1012.2927719692866,1063.5687580924214,Alberta Cerra Leon,238 lbs.,"5' 8""",--,--,0,-3,-1,-1,0.0,0,1,1,0,0-1-0,0,0,1825.0,983.4881622269075,1005.3936281023211,win,SUB,1,9:51
19,UFC 2: No Way Out,"Mar. 11, 1994",Johnny Rhodes,210 lbs.,"6' 0""",--,--,0.5,8,0.5,0.5,1.0,2,0,2,2,2-1-0,0,0,1825.0,1031.263693206478,984.368153396761,Patrick Smith,225 lbs.,"6' 2""",--,"Aug 28, 1963",0,4,-0.75,-1,0.25,1,0,4,1,20-17-0,1,0,2028.0,975.6429611595685,1025.9320415645102,loss,SUB,1,1:07
20,UFC 2: No Way Out,"Mar. 11, 1994",Johnny Rhodes,210 lbs.,"6' 0""",--,--,0.3333333333333333,5,0.3333333333333333,0,0.6666666666666666,0,1,3,2,2-1-0,0,0,1825.0,1012.7239237643143,987.6396791317514,Fred Ettish,180 lbs.,"6' 0""",--,--,-1,-9,0,-1,0.0,0,1,1,0,1-1-0,0,0,1825.0,984.0,1016.0,win,SUB,1,3:07
21,UFC 2: No Way Out,"Mar. 11, 1994",Johnny Rhodes,210 lbs.,"6' 0""",--,--,0.5,6,0.25,0.25,0.75,1,0,4,3,2-1-0,0,0,1825.0,1027.4041437233548,983.0597043590535,David Levicki,275 lbs.,"6' 5""",--,--,0,-7,-1,0,0.0,0,1,1,0,1-3-0,0,0,1825.0,984.736306793522,1031.263693206478,win,KO/TKO,1,12:13
22,UFC 2: No Way Out,"Mar. 11, 1994",Orlando Wiet,170 lbs.,"5' 10""",--,--,0,0,-1,-0.5,0.5,0,1,2,1,1-5-0,0,0,1825.0,999.0498101640086,998.1463859846433,Robert Lucarelli,245 lbs.,"6' 2""",--,--,0,-6,1,1,0.0,0,1,1,0,0-1-0,0,0,1825.0,984.0,1016.0,win,KO/TKO,1,2:50
23,UFC 2: No Way Out,"Mar. 11, 1994",Ray Wizard,--,--,--,--,0,0,0,-1,0.0,0,1,1,0,0-1-0,0,0,1825.0,983.7321298754049,1010.4506007263271,Patrick Smith,225 lbs.,"6' 2""",--,"Aug 28, 1963",0,2.8333333333333335,-0.5,-0.3333333333333333,0.5,3,0,6,3,20-17-0,1,0,2028.0,1010.4506007263271,1016.69736998296,loss,SUB,1,0:58
