id,event,date,fighter_name,fighter_weight,fighter_height,fighter_reach,fighter_dob,fighter_kd_differential,fighter_str_differential,fighter_td_differential,fighter_sub_differential,fighter_winrate,fighter_winstreak,fighter_losestreak,fighter_totalfights,fighter_totalwins,fighter_record,fighter_titlefights,fighter_titlewins,fighter_age_deviation,fighter_elo,fighter_opp_avg_elo,opponent_name,opponent_weight,opponent_height,opponent_reach,opponent_dob,opponent_kd_differential,opponent_str_differential,opponent_td_differential,opponent_sub_differential,opponent_winrate,opponent_winstreak,opponent_losestreak,opponent_totalfights,opponent_totalwins,opponent_record,opponent_titlefights,opponent_titlewins,opponent_age_deviation,opponent_elo,opponent_opp_avg_elo,result,method,round,time
5823,UFC 201: Lawler vs. Woodley,"Jul. 30, 2016",Ryan Benoit,125 lbs.,"5' 5""","68""","Aug 25, 1989",0.25,-10.25,-1,-2.5,0.25,0,1,4,1,10-8-0,0,0,452.0,974.4921977580584,1027.439214419184,Fredy Serrano,125 lbs.,"5' 3""","65""","Sep 22, 1979",0.6666666666666666,4,1.6666666666666667,0,1.0,3,0,3,3,3-2-0,0,0,4091.0,1044.581790795298,975.8073138326172,win,S-DEC,3,5:00
5824,UFC 201: Lawler vs. Woodley,"Jul. 30, 2016",Matt Brown,170 lbs.,"6' 0""","75""","Jan 10, 1981",0.22727272727272727,11.727272727272727,-0.8636363636363636,0.4090909090909091,0.6363636363636364,0,1,22,14,26-19-0,0,0,3783.0,1093.6500835581562,1046.243001023269,Jake Ellenberger,170 lbs.,"5' 9""","71""","Mar 28, 1985",0.4117647058823529,-1.1764705882352942,1.1764705882352942,0,0.5294117647058824,0,2,17,9,31-15-0,0,0,2140.0,1046.6590532247758,1088.344176713775,loss,KO/TKO,1,1:46
5825,UFC 201: Lawler vs. Woodley,"Jul. 30, 2016",Damian Grabowski,241 lbs.,"6' 1""","75""","May 12, 1980",0,-13,-1,0,0.0,0,2,2,0,20-5-0,0,0,3928.0,973.2189449575942,1063.6480905235508,Anthony Hamilton,260 lbs.,"6' 5""","76""","Apr 14, 1980",-0.16666666666666666,10.166666666666666,0.8333333333333334,-0.3333333333333333,0.3333333333333333,0,1,6,2,15-9-0,0,0,3971.0,972.3474616394916,1003.6798319468411,loss,KO/TKO,1,0:14
5826,UFC 201: Lawler vs. Woodley,"Jul. 30, 2016",Michael Graves,170 lbs.,"5' 10""","71""","Jan 08, 1991",0,-0.3333333333333333,5.333333333333333,-0.6666666666666666,1.0,3,0,3,3,6-0-1,0,0,105.0,1046.4137486911293,988.5271718417238,Bojan Velickovic,170 lbs.,"6' 0""","76""","Dec 18, 1988",0,-20,-1,1,1.0,2,0,2,2,15-6-1,0,0,850.0,1030.5304984710244,976.7347507644877,draw,M-DEC,3,5:00
5827,UFC 201: Lawler vs. Woodley,"Jul. 30, 2016",Ed Herman,205 lbs.,"6' 1""","77""","Oct 02, 1980",0.047619047619047616,4.380952380952381,0.9523809523809523,-0.5238095238095238,0.47619047619047616,1,0,21,10,27-16-0 (1 NC),2,0,3765.0,1045.1787242585626,1040.5705923902208,Nikita Krylov,205 lbs.,"6' 3""","77""","Mar 07, 1992",0.125,15.5,-1.5,0.25,0.625,4,0,8,5,30-9-0,0,0,297.0,1040.1461141203877,1008.304472794452,loss,KO/TKO,2,0:40
5828,UFC 201: Lawler vs. Woodley,"Jul. 30, 2016",Karolina Kowalkiewicz,115 lbs.,"5' 3""","64""","Oct 15, 1985",0,37.666666666666664,-0.6666666666666666,0,1.0,3,0,3,3,15-7-0,0,0,2038.0,1046.016600891713,985.4919549221282,Rose Namajunas,115 lbs.,"5' 5""","65""","Jun 29, 1992",0,1,0.6,0.6,0.6,3,0,5,3,12-5-0,2,0,433.0,1025.8197887483423,1027.4744536223454,win,S-DEC,3,5:00
5829,UFC 201: Lawler vs. Woodley,"Jul. 30, 2016",Robbie Lawler,170 lbs.,"5' 11""","74""","Mar 20, 1982",0.5517241379310345,-1.5862068965517242,-0.3448275862068966,-0.3103448275862069,0.6551724137931034,5,0,29,19,30-16-0 (1 NC),5,3,3216.0,1165.2684205493938,1058.0003063177858,Tyron Woodley,170 lbs.,"5' 9""","74""","Apr 07, 1982",0.3333333333333333,-1.2777777777777777,1,0.16666666666666666,0.8333333333333334,2,0,18,15,19-7-1,1,0,2862.0,1163.608165119939,1052.3019562820182,loss,KO/TKO,1,2:12
5830,UFC 201: Lawler vs. Woodley,"Jul. 30, 2016",Jorge Masvidal,170 lbs.,"5' 11""","74""","Nov 12, 1984",0,14.833333333333334,0.9444444444444444,0.16666666666666666,0.7222222222222222,0,2,18,13,35-17-0,1,0,2396.0,1101.8388241799307,1051.6624461805004,Ross Pearson,155 lbs.,"5' 8""","69""","Sep 26, 1984",0.047619047619047616,4.333333333333333,-0.23809523809523808,-0.09523809523809523,0.5714285714285714,0,1,21,12,20-16-0 (1 NC),2,2,2483.0,1056.8470375078382,1045.5998072340794,win,U-DEC,3,5:00
5831,UFC 201: Lawler vs. Woodley,"Jul. 30, 2016",Erik Perez,135 lbs.,"5' 8""","68""","Nov 19, 1989",0.25,13.375,1.25,-0.75,0.75,1,0,8,6,17-6-0,0,0,373.0,1054.950191566136,1004.0921464966963,Francisco Rivera,135 lbs.,"5' 8""","70""","Oct 08, 1981",-0.08333333333333333,7.416666666666667,-0.25,0,0.3333333333333333,0,2,12,4,11-7-0 (1 NC),0,0,3435.0,974.1003352225453,1028.4886273423526,win,U-DEC,3,5:00
5832,UFC 201: Lawler vs. Woodley,"Jul. 30, 2016",Hector Sandoval,125 lbs.,"5' 2""","64""","Jul 19, 1986",0,1,-3,-1,0.0,0,1,1,0,14-4-0,0,0,1844.0,986.7388105496374,1073.3250058574517,Wilson Reis,125 lbs.,"5' 4""","65""","Jan 06, 1985",-0.5555555555555556,1,3.888888888888889,0.4444444444444444,0.7777777777777778,2,0,9,7,23-10-0,0,0,2403.0,1073.3250058574517,1009.067020057018,loss,SUB,1,1:49
5833,UFC Fight Night: Rodriguez vs. Caceres,"Aug. 06, 2016",Dennis Bermudez,155 lbs.,"5' 6""","66""","Dec 13, 1986",-0.08333333333333333,14.416666666666666,2.5,0.5,0.6666666666666666,1,0,12,8,17-9-0,2,0,1537.0,1074.8085677325416,1040.3112889293384,Rony Jason,145 lbs.,"5' 7""","73""","Mar 21, 1984",0,-1.625,-0.375,0.25,0.625,0,1,8,5,14-7-0 (1 NC),2,2,2267.0,1041.479496557907,1014.9929012645532,win,U-DEC,3,5:00
5834,UFC Fight Night: Rodriguez vs. Caceres,"Aug. 06, 2016",Alex Caceres,145 lbs.,"5' 10""","73""","Jun 20, 1988",-0.05555555555555555,20.333333333333332,-2.111111111111111,0.05555555555555555,0.4444444444444444,2,0,18,8,21-14-0 (1 NC),0,0,1086.0,1022.2093930191679,1011.2412050382504,Yair Rodriguez,145 lbs.,"5' 11""","71""","Oct 06, 1992",0.2,13.2,0.4,2.4,1.0,5,0,5,5,16-4-0 (1 NC),2,2,525.0,1074.3972961028778,990.9436096037622,loss,S-DEC,5,5:00
5835,UFC Fight Night: Rodriguez vs. Caceres,"Aug. 06, 2016",Chris Camozzi,185 lbs.,"6' 2""","75""","Nov 20, 1986",-0.05263157894736842,10.68421052631579,-1.368421052631579,0.05263157894736842,0.5789473684210527,3,0,19,11,24-13-0,0,0,1658.0,1047.4217246055105,1028.6508176898792,Thales Leites,185 lbs.,"6' 1""","78""","Sep 06, 1981",0.1111111111111111,-13.444444444444445,1.4444444444444444,0.7777777777777778,0.6666666666666666,0,2,18,12,28-9-0,1,0,3467.0,1099.8903876548566,1051.6089303941435,loss,SUB,3,2:58
5836,UFC Fight Night: Rodriguez vs. Caceres,"Aug. 06, 2016",Zak Cummings,205 lbs.,"6' 0""","75""","Aug 02, 1984",0.2857142857142857,-8,0.2857142857142857,-1.1428571428571428,0.5714285714285714,2,0,7,4,25-7-0,0,0,2449.0,1030.0172430026112,1035.010052153215,Santiago Ponzinibbio,170 lbs.,"6' 0""","73""","Sep 26, 1986",0.375,-10.5,-1.625,0,0.625,2,0,8,5,30-7-0,0,0,1670.0,1040.2044585094343,1018.3698093076669,loss,U-DEC,3,5:00
5837,UFC Fight Night: Rodriguez vs. Caceres,"Aug. 06, 2016",Horacio Gutierrez,145 lbs.,"5' 10""",--,"Sep 15, 1990",0,-28,-5,0,0.0,0,2,2,0,4-3-0,2,0,73.0,969.4695015289755,1023.2652492355122,Teruto Ishihara,135 lbs.,"5' 7""","69""","Jul 23, 1991",1.6666666666666667,21,-1.6666666666666667,0,0.3333333333333333,1,0,3,1,10-7-2,0,0,133.0,1012.937136938271,970.9355426659127,loss,KO/TKO,1,2:32
5838,UFC Fight Night: Rodriguez vs. Caceres,"Aug. 06, 2016",Tatsuya Kawajiri,145 lbs.,"5' 7""","69""","May 08, 1978",-0.02857142857142857,2.742857142857143,1.9428571428571428,0.45714285714285713,0.8,0,1,35,28,36-11-2,2,0,4678.0,1201.0219282870244,1033.1316090216978,Cub Swanson,145 lbs.,"5' 8""","70""","Nov 02, 1983",0.2631578947368421,3.6315789473684212,-1.1578947368421053,0.05263157894736842,0.6842105263157895,1,0,19,13,29-13-0,0,0,2729.0,1103.3354319604816,1039.8836116434215,loss,U-DEC,3,5:00
5839,UFC Fight Night: Rodriguez vs. Caceres,"Aug. 06, 2016",Court McGee,170 lbs.,"5' 11""","75""","Dec 12, 1984",-0.2727272727272727,21.90909090909091,1.5454545454545454,0.36363636363636365,0.6363636363636364,0,1,11,7,22-12-0,2,2,2323.0,1031.9544527798414,999.4624626582762,Dominique Steele,170 lbs.,"5' 10""","74""","Jan 27, 1988",0.3333333333333333,0,2.6666666666666665,-0.3333333333333333,0.6666666666666666,0,1,6,4,14-9-0,0,0,1189.0,1025.7875653608382,994.8309752194491,win,U-DEC,3,5:00
5840,UFC Fight Night: Rodriguez vs. Caceres,"Aug. 06, 2016",Viktor Pesta,240 lbs.,"6' 3""","77""","Jul 15, 1990",0,-7.8,3,0,0.4,0,1,5,2,10-4-0,0,0,86.0,987.8590445058303,1007.8341714753554,Marcin Tybura,249 lbs.,"6' 3""","78""","Nov 09, 1985",0,3,1,0,0.0,0,2,2,0,24-8-0,0,0,1985.0,970.8459563256707,1037.9810109768416,loss,KO/TKO,2,0:53
5841,UFC Fight Night: Rodriguez vs. Caceres,"Aug. 06, 2016",Chase Sherman,250 lbs.,"6' 4""","78""","Nov 16, 1989",0,-54,0,0,0.0,0,1,1,0,16-12-0,0,0,635.0,984.0,1016.0,Justin Ledet,205 lbs.,"6' 4""","80""","Sep 28, 1988",0,54,0,0,1.0,1,0,1,1,9-4-0 (1 NC),0,0,1049.0,1016.0,984.0,loss,U-DEC,3,5:00
5842,UFC Fight Night: Rodriguez vs. Caceres,"Aug. 06, 2016",Trevor Smith,185 lbs.,"6' 3""","75""","Jan 05, 1981",-0.08333333333333333,5.833333333333333,0.16666666666666666,0.3333333333333333,0.5833333333333334,2,0,12,7,15-10-0,0,0,3872.0,1032.7436446291333,1011.7618236102344,Joseph Gigliotti,185 lbs.,"5' 11""",--,"Aug 13, 1993",-1,-27,-3,-1,0.0,0,1,1,0,7-2-0,0,0,731.0,984.8075767767137,1032.7436446291333,win,U-DEC,3,5:00
5843,UFC Fight Night: Rodriguez vs. Caceres,"Aug. 06, 2016",Danielle Taylor,115 lbs.,"5' 0""","60""","Oct 25, 1989",0,0,1,0,0.0,0,1,1,0,9-4-0,0,0,657.0,986.1367380372911,1060.540762113352,Maryna Moroz,125 lbs.,"5' 7""","67""","Sep 08, 1991",-0.16666666666666666,-3.3333333333333335,-0.3333333333333333,0,0.8333333333333334,3,0,6,5,11-5-0,0,0,26.0,1060.540762113352,1001.946497583241,loss,S-DEC,3,5:00
5844,UFC Fight Night: Rodriguez vs. Caceres,"Aug. 06, 2016",David Teymur,155 lbs.,"5' 9""","73""","May 01, 1989",1,22.666666666666668,0.6666666666666666,0,1.0,3,0,3,3,8-2-0,0,0,834.0,1045.1281248226185,979.6239583924604,Jason Novelli,155 lbs.,"6' 0""",--,"Jun 08, 1979",-1,-18,0,0,0.0,0,1,1,0,11-3-1,0,0,4449.0,985.4023736484061,1045.1281248226185,win,KO/TKO,2,1:25
5845,UFC 202: Diaz vs. McGregor 2,"Aug. 20, 2016",Cortney Casey,125 lbs.,"5' 7""","67""","May 05, 1987",-0.5,-11.25,-1,0,0.25,1,0,4,1,10-10-0,0,0,1537.0,970.0636249979226,995.2980808428899,Randa Markos,115 lbs.,"5' 4""","63""","Aug 10, 1985",0,-5.666666666666667,-0.6666666666666666,0.16666666666666666,0.3333333333333333,1,0,6,2,11-12-1,0,0,2145.0,980.2917167855952,1031.4218643553065,win,SUB,1,4:34
5846,UFC 202: Diaz vs. McGregor 2,"Aug. 20, 2016",Donald Cerrone,155 lbs.,"6' 1""","73""","Mar 29, 1983",0.4117647058823529,2.0294117647058822,-0.14705882352941177,1.0294117647058822,0.7352941176470589,2,0,34,25,36-17-0 (2 NC),4,0,3010.0,1220.2137871777122,1051.4172752501795,Rick Story,170 lbs.,"5' 9""","71""","Aug 28, 1984",0.2857142857142857,21.38095238095238,0.9523809523809523,0.14285714285714285,0.6666666666666666,3,0,21,14,19-9-0,0,0,2472.0,1113.033216016695,1047.703206548263,win,KO/TKO,2,2:02
5847,UFC 202: Diaz vs. McGregor 2,"Aug. 20, 2016",Nate Diaz,170 lbs.,"6' 0""","76""","Apr 16, 1985",-0.03225806451612903,10.903225806451612,-1.3225806451612903,0.7741935483870968,0.7096774193548387,2,0,31,22,22-13-0,4,2,2156.0,1143.505855518254,1048.8125432136483,Conor McGregor,155 lbs.,"5' 9""","74""","Jul 14, 1988",0.7777777777777778,10.11111111111111,0,-0.3333333333333333,0.8888888888888888,0,1,9,8,22-6-0,2,2,971.0,1123.8799078612417,1083.8684555347,loss,M-DEC,5,5:00
5848,UFC 202: Diaz vs. McGregor 2,"Aug. 20, 2016",Cody Garbrandt,135 lbs.,"5' 8""","65""","Jul 07, 1991",1.3333333333333333,8.666666666666666,0.8333333333333334,0,1.0,6,0,6,6,13-5-0,0,0,32.0,1090.5562893987128,1004.0625198396591,Takeya Mizugaki,135 lbs.,"5' 7""","69""","Dec 16, 1983",0.05263157894736842,-3.6842105263157894,0.05263157894736842,-0.5263157894736842,0.5789473684210527,1,0,19,11,21-11-2,0,0,2482.0,1062.1323426664455,1031.1642219541268,win,KO/TKO,1,0:48
5849,UFC 202: Diaz vs. McGregor 2,"Aug. 20, 2016",Max Griffin,170 lbs.,"5' 11""","76""","Nov 29, 1985",0,-13,-6,1,0.0,0,1,1,0,19-10-0,0,0,2097.0,987.4225872888771,1088.0637207031582,Colby Covington,170 lbs.,"5' 11""","72""","Feb 22, 1988",0.25,7.25,3.5,-0.125,0.875,3,0,8,7,17-3-0,0,0,1282.0,1088.0637207031582,1010.8656347257885,loss,KO/TKO,3,2:18
5850,UFC 202: Diaz vs. McGregor 2,"Aug. 20, 2016",Sabah Homasi,170 lbs.,"6' 0""","72""","Oct 19, 1988",0,0,0,0,0.0,0,2,2,0,11-8-0,0,0,1352.0,969.4695015289755,1023.2652492355122,Tim Means,170 lbs.,"6' 2""","75""","Feb 20, 1984",0.5,16.833333333333332,-1.1666666666666667,0.08333333333333333,0.6666666666666666,1,0,12,8,32-15-1 (1 NC),0,0,2491.0,1063.6973602014364,1024.024349945916,loss,KO/TKO,2,2:56
5851,UFC 202: Diaz vs. McGregor 2,"Aug. 20, 2016",Anthony Johnson,205 lbs.,"6' 2""","78""","Mar 06, 1984",0.7222222222222222,9.88888888888889,0.6666666666666666,-0.3888888888888889,0.7222222222222222,2,0,18,13,22-6-0,1,0,2527.0,1141.0735532053923,1063.7746002059093,Glover Teixeira,205 lbs.,"6' 2""","76""","Oct 28, 1979",0.35294117647058826,6.470588235294118,0.11764705882352941,0.17647058823529413,0.7647058823529411,3,0,17,13,33-9-0,1,0,4195.0,1150.6373458193666,1056.4952638724985,win,KO/TKO,1,0:13
5852,UFC 202: Diaz vs. McGregor 2,"Aug. 20, 2016",Lorenz Larkin,170 lbs.,"5' 11""","72""","Sep 03, 1986",0.4375,9,-0.5625,-0.125,0.625,1,0,16,10,18-6-0 (1 NC),0,0,1736.0,1071.8599611085301,1039.7514908417372,Neil Magny,170 lbs.,"6' 3""","80""","Aug 03, 1987",-0.11764705882352941,29.352941176470587,0.8235294117647058,-0.23529411764705882,0.8235294117647058,3,0,17,14,28-12-0,0,0,1331.0,1148.3996780648213,1017.560103003008,win,KO/TKO,1,4:08
5853,UFC 202: Diaz vs. McGregor 2,"Aug. 20, 2016",Artem Lobov,145 lbs.,"5' 9""","65""","Aug 11, 1986",0,-21.5,-1.25,-0.5,0.25,1,0,4,1,13-15-1 (1 NC),2,0,1842.0,972.8578773287707,1010.3237986524816,Chris Avila,145 lbs.,"5' 10""",--,"Jan 16, 1993",0,-11,0,0,0.0,0,1,1,0,5-4-0,0,0,508.0,981.9295585269513,972.8578773287707,win,U-DEC,3,5:00
5854,UFC 202: Diaz vs. McGregor 2,"Aug. 20, 2016",Raquel Pennington,135 lbs.,"5' 7""","67""","Sep 05, 1988",0,9,-0.1111111111111111,0.6666666666666666,0.6666666666666666,2,0,9,6,15-9-0,0,0,960.0,1038.965861158662,991.5962926506222,Elizabeth Phillips,135 lbs.,"5' 6""","65""","Aug 20, 1986",0,-6.6,-0.8,-0.4,0.2,1,0,5,1,6-6-0,0,0,1441.0,960.1011715329039,1013.3903752278923,win,U-DEC,3,5:00
5855,UFC 202: Diaz vs. McGregor 2,"Aug. 20, 2016",Mike Perry,170 lbs.,"5' 10""","71""","Sep 15, 1991",3,23,0,0,1.0,1,0,1,1,14-8-0,0,0,19.0,1017.5976858076119,1017.2116255754977,Hyun Gyu Lim,170 lbs.,"6' 3""","77""","Jan 16, 1985",-0.14285714285714285,-0.7142857142857143,-0.8571428571428571,0,0.5714285714285714,0,2,7,4,13-7-1,0,0,2414.0,1017.2116255754977,1032.2764257674967,win,KO/TKO,1,3:38
5856,UFC 202: Diaz vs. McGregor 2,"Aug. 20, 2016",Marvin Vettori,185 lbs.,"6' 0""","74""","Sep 20, 1993",0,6,0,1,1.0,1,0,1,1,19-7-1,0,0,755.0,1014.4721316358265,952.2492288267795,Alberto Uda,185 lbs.,"6' 3""",--,"Aug 08, 1984",-0.6666666666666666,-10,0,-0.3333333333333333,0.0,0,3,3,0,12-2-0,0,0,2575.0,952.2492288267795,1000.820041987755,win,SUB,1,4:30
5857,UFC on FOX: Maia vs. Condit,"Aug. 27, 2016",Sam Alvey,185 lbs.,"6' 2""","75""","May 06, 1986",0.2222222222222222,-4.555555555555555,-0.2222222222222222,0.2222222222222222,0.5555555555555556,2,0,9,5,33-18-1 (1 NC),0,0,1901.0,1026.6101290435572,1020.7673751913712,Kevin Casey,185 lbs.,"5' 11""","77""","Jun 15, 1981",-0.09090909090909091,-8,-0.36363636363636365,0.36363636363636365,0.2727272727272727,0,1,11,3,9-5-2 (2 NC),0,0,3648.0,990.9235810894228,1015.3310785267895,win,KO/TKO,2,4:56
5858,UFC on FOX: Maia vs. Condit,"Aug. 27, 2016",Enrique Barzola,145 lbs.,"5' 7""","70""","Apr 28, 1989",0,28,5,0,1.0,2,0,2,2,17-5-2,2,2,578.0,1030.5304984710244,976.7347507644877,Kyle Bochniak,145 lbs.,"5' 7""","70""","Feb 05, 1987",1,-40,0,0,0.0,0,2,2,0,8-5-0,0,0,1448.0,967.4101990435323,1001.3347082176571,loss,S-DEC,3,5:00
5859,UFC on FOX: Maia vs. Condit,"Aug. 27, 2016",Carlos Condit,170 lbs.,"6' 2""","75""","Apr 26, 1984",0.045454545454545456,14.227272727272727,-2.5,0.22727272727272727,0.6818181818181818,0,1,22,15,32-14-0,8,6,2448.0,1129.3463119344196,1070.7563873299675,Demian Maia,170 lbs.,"6' 1""","72""","Nov 06, 1977",0,2.64,1.88,0.72,0.76,6,0,25,19,28-11-0,1,0,4944.0,1181.8088161802673,1062.7470177958264,loss,SUB,1,1:52
5860,UFC on FOX: Maia vs. Condit,"Aug. 27, 2016",Alessio Di Chirico,185 lbs.,"6' 0""","74""","Dec 12, 1989",0,20,1,-1,0.0,0,2,2,0,13-7-0,0,0,491.0,969.4695015289755,1023.2652492355122,Garreth McLellan,185 lbs.,"6' 1""","72""","Sep 01, 1982",-0.25,6,-5.25,1.25,0.25,0,1,4,1,13-6-0,0,0,3178.0,973.0839090142368,1019.5201128912112,win,S-DEC,3,5:00
5861,UFC on FOX: Maia vs. Condit,"Aug. 27, 2016",Thibault Gouti,155 lbs.,"5' 10""","72""","Feb 27, 1987",-0.6666666666666666,-9,-1,-1,0.0,0,3,3,0,12-5-0,0,0,1579.0,952.230338366389,1000.6191874626526,Chad Laprise,170 lbs.,"5' 10""","71""","Jul 23, 1986",-0.16666666666666666,12.833333333333334,-0.16666666666666666,0,0.6666666666666666,0,2,6,4,13-4-0,2,2,1707.0,1029.1529610120547,1017.636240723528,loss,KO/TKO,1,1:36
5862,UFC on FOX: Maia vs. Condit,"Aug. 27, 2016",Joe Lauzon,155 lbs.,"5' 10""","71""","May 22, 1984",-0.041666666666666664,-14.75,0.625,1.1666666666666667,0.6666666666666666,1,0,24,16,28-16-0,0,0,2611.0,1097.35551235514,1045.69446168247,Jim Miller,155 lbs.,"5' 8""","71""","Aug 30, 1983",0.12,2.88,0.12,1.04,0.68,1,0,25,17,36-17-0 (1 NC),0,0,2877.0,1116.1632533100967,1053.075310426753,loss,S-DEC,3,5:00
5863,UFC on FOX: Maia vs. Condit,"Aug. 27, 2016",Charles Oliveira,155 lbs.,"5' 10""","74""","Oct 17, 1989",0.0625,1.875,0.125,1,0.625,1,0,16,10,34-9-0 (1 NC),0,0,434.0,1089.8265657294248,1050.4530677614487,Anthony Pettis,155 lbs.,"5' 10""","72""","Jan 27, 1987",0.3125,0.8125,-1.625,0.8125,0.6875,0,3,16,11,24-10-0,4,3,1554.0,1101.2150348348614,1072.0561992727403,loss,SUB,3,1:49
5864,UFC on FOX: Maia vs. Condit,"Aug. 27, 2016",Bec Rawlings,125 lbs.,"5' 6""","64""","Feb 11, 1989",0,6.25,-0.5,-0.5,0.5,2,0,4,2,7-8-0,0,0,773.0,1000.247097094679,985.7017979855658,Paige VanZant,115 lbs.,"5' 4""","65""","Mar 26, 1994",0,20.2,-1.4,0.2,0.8,0,1,5,4,8-5-0,0,0,1196.0,1040.3569129729246,988.9039197485793,loss,KO/TKO,2,0:17
5865,UFC on FOX: Maia vs. Condit,"Aug. 27, 2016",Alex Ricci,155 lbs.,"5' 11""",--,"Jul 21, 1982",0,1,-5,0,0.0,0,1,1,0,10-5-0,0,0,3331.0,984.0,1016.0,Jeremy Kennedy,145 lbs.,"5' 11""","71""","Sep 16, 1992",0,-1,5,0,1.0,1,0,1,1,11-1-0,0,0,379.0,1016.0,984.0,loss,U-DEC,3,5:00
5866,UFC on FOX: Maia vs. Condit,"Aug. 27, 2016",Felipe Silva,155 lbs.,"6' 0""","77""","May 08, 1984",1,2,0,0,1.0,1,0,1,1,8-2-0,0,0,2674.0,1014.269861102536,948.0131821013218,Shane Campbell,155 lbs.,"6' 0""","71""","Jan 21, 1987",-0.8333333333333334,2.1666666666666665,-0.3333333333333333,-0.5,0.16666666666666666,0,3,6,1,14-6-0,0,0,1686.0,948.0131821013218,1034.1126900340566,win,KO/TKO,1,1:13
5867,UFC Fight Night: Arlovski vs. Barnett,"Sep. 03, 2016",Andrei Arlovski,240 lbs.,"6' 3""","77""","Feb 04, 1979",0.14814814814814814,5.2592592592592595,-0.14814814814814814,0.14814814814814814,0.6296296296296297,0,2,27,17,34-22-0 (2 NC),5,3,4483.0,1112.281733268743,1074.776893437488,Josh Barnett,250 lbs.,"6' 3""","78""","Nov 10, 1977",0.03225806451612903,9.258064516129032,0.12903225806451613,0.6774193548387096,0.7419354838709677,0,1,31,23,35-8-0,3,1,4835.0,1182.3029525992154,1066.3573912510371,loss,SUB,3,2:53
5868,UFC Fight Night: Arlovski vs. Barnett,"Sep. 03, 2016",Ryan Bader,205 lbs.,"6' 2""","74""","Jun 07, 1983",0.21052631578947367,11.368421052631579,1.8421052631578947,0,0.7368421052631579,0,1,19,14,23-5-0,2,2,2800.0,1155.1746964957604,1093.0536075664572,Ilir Latifi,230 lbs.,"5' 10""","73""","Jul 28, 1982",0.2,-10.3,0.8,0.2,0.6,3,0,10,6,17-9-0 (1 NC),0,0,3149.0,1048.4362508667878,1047.7195689648179,win,KO/TKO,2,2:06
5869,UFC Fight Night: Arlovski vs. Barnett,"Sep. 03, 2016",Tae Hyun Bang,155 lbs.,"5' 9""","71""","Apr 15, 1983",0.6666666666666666,3,-3.1666666666666665,0,0.5,1,0,6,3,18-10-0,0,0,2790.0,1002.8268887029305,998.2362932877589,Nick Hein,155 lbs.,"5' 6""","66""","Apr 24, 1984",0.2857142857142857,6.714285714285714,0.5714285714285714,0,0.8571428571428571,4,0,7,6,14-5-0 (1 NC),0,0,2352.0,1072.524477038292,995.2347332248945,loss,U-DEC,3,5:00
5870,UFC Fight Night: Arlovski vs. Barnett,"Sep. 03, 2016",Jan Blachowicz,205 lbs.,"6' 2""","78""","Feb 24, 1983",0,4.4,0.2,0.2,0.6,1,0,5,3,29-10-1,0,0,2974.0,1016.6088946149896,1013.7833974035696,Alexander Gustafsson,205 lbs.,"6' 5""","79""","Jan 15, 1987",0.5384615384615384,3.3076923076923075,0.6153846153846154,0.23076923076923078,0.6923076923076923,0,2,13,9,18-8-0,2,0,1363.0,1100.023760472363,1095.5072152689183,loss,U-DEC,3,5:00
5871,UFC Fight Night: Arlovski vs. Barnett,"Sep. 03, 2016",Nicolas Dalby,170 lbs.,"5' 11""","74""","Nov 16, 1984",-0.5,1,3.25,-0.25,0.5,0,1,4,2,22-4-1 (2 NC),0,0,2343.0,1013.6084098743158,1002.820924133609,Peter Sobotta,170 lbs.,"6' 0""","75""","Jan 11, 1987",-0.1111111111111111,-10.88888888888889,1.5555555555555556,0.3333333333333333,0.4444444444444444,0,1,9,4,17-7-1,0,0,1409.0,996.3718617742213,1007.2710617245743,loss,U-DEC,3,5:00
5872,UFC Fight Night: Arlovski vs. Barnett,"Sep. 03, 2016",Jarjis Danho,265 lbs.,"6' 3""","74""","Oct 15, 1983",0,-34,0.3333333333333333,0,0.0,0,2,3,0,7-1-1 (1 NC),0,0,2887.0,973.0521639009462,1031.4003922698819,Christian Colombo,265 lbs.,"6' 5""",--,"Jul 01, 1980",0,24,-1,0,0.0,0,0,1,0,8-3-1,0,0,4088.0,998.702093661463,973.0521639009462,draw,M-DEC,3,5:00
5873,UFC Fight Night: Arlovski vs. Barnett,"Sep. 03, 2016",Veronica Hardy,125 lbs.,"5' 4""","64""","Oct 30, 1995",0,-50,-2,0,0.0,0,1,1,0,7-4-1,0,0,1511.0,983.4877775429967,1005.385650917683,Ashlee Evans-Smith,135 lbs.,"5' 8""","67""","Jul 09, 1987",0,16,0.5,-0.75,0.5,2,0,4,2,6-6-0,0,0,1524.0,1005.385650917683,1013.9507576197526,loss,KO/TKO,3,2:46
5874,UFC Fight Night: Arlovski vs. Barnett,"Sep. 03, 2016",Jack Hermansson,185 lbs.,"6' 1""","77""","Jun 10, 1988",0,51,1,-2,1.0,1,0,1,1,23-8-0,0,0,1187.0,1015.4111557073003,971.7964753394614,Scott Askham,185 lbs.,"6' 3""","75""","May 20, 1988",0.8333333333333334,-4.666666666666667,-1.5,0.5,0.3333333333333333,0,1,6,2,14-4-0,0,0,1208.0,971.7964753394614,1001.7163873753531,win,U-DEC,3,5:00
