Fighter,oppelo,wins,losses,dob,totalfights,elo,losestreak,winstreak,titlewins,KD,Sig. str.,Total str.,Td,Sub. att,Rev.,Ctrl,Sig. str,Head,Body,Leg,Distance,Clinch,Ground,Sig. str.%,Total str.%,Td%,Sig. str%,Head%,Body%,Leg%,Distance%,Clinch%,Ground%
Brian Geraghty,984.6042849253482,0,1,1980,1,983.2914648166424,1,0,0,0.0,-20.0,-18.0,-1.0,0.0,0.0,-1.7333333333333334,-20.0,-18.0,-1.0,-1.0,-1.0,1.0,-20.0,-0.38636363636363635,0.024324324324324298,-0.5,-0.38636363636363635,-0.2795698924731183,-1.0,-1.0,-0.2,0.5,-0.7142857142857143
Neil Magny,11115686.320788931,21,10,1987,31,1121.9341312888157,1,0,0,-2034.0,9238.0,191693.0,2653.0,264.0,-682.0,-14760.383333333335,9238.0,47028.0,32158.0,-69948.0,-50614.0,46762.0,13090.0,-1088.258879944555,-410.7658638963116,-2486.1878177378176,-1088.258879944555,-900.4925533237821,-450.33409365271666,491.4497760693413,-1431.8076469775533,1070.2829680037883,-248.83857488662318
Floyd Sword,1000.6832185796607,0,1,1976,1,984.0314633377798,1,0,0,0.0,-3.0,-25.0,-2.0,-1.0,0.0,-1.85,-3.0,-1.0,0.0,-2.0,0.0,1.0,-4.0,-0.17142857142857143,-0.3714285714285715,-0.6666666666666666,-0.17142857142857143,-0.2,0.5,0.0,-0.09999999999999998,0.5,-0.6666666666666666
Humberto Bandenay,29847.197903187283,1,3,1994,4,968.5505008736815,3,0,0,-3.0,-948.0,-760.0,53.0,4.0,0.0,-30.616666666666674,-948.0,-668.0,-216.0,-64.0,-542.0,-122.0,-284.0,-1.9109038384981774,-0.025313984894900443,-9.1,-1.9109038384981774,-3.3443411029038597,3.0336817653890815,-9.754545454545454,-1.066985645933014,2.6545454545454534,-24.51748251748252
Askar Mozharov,1016.2211510750709,0,1,1994,1,984.7464693097163,1,0,0,0.0,-17.0,-44.0,-2.0,0.0,0.0,-4.316666666666666,-17.0,-17.0,0.0,0.0,-1.0,0.0,-16.0,-0.6818181818181819,-0.3822033898305084,-0.6666666666666666,-0.6818181818181819,-0.746031746031746,-0.5,0.0,-0.3181818181818182,0.0,-1.0
Brian Bowles,29651.540786053203,2,2,1980,4,996.6692093125891,2,0,0,-9.0,-465.0,-504.0,-4.0,8.0,7.0,6.78333333333333,-465.0,-383.0,-2.0,-80.0,-205.0,11.0,-271.0,-4.613393480726495,-4.670920079920371,-4.0,-4.613393480726495,-5.236659777106939,3.5286791639732815,-9.412698412698411,-3.4883061278080154,-10.166666666666666,-6.784965034965036
Chris de la Rocha,29688.834982599055,1,3,1979,4,968.7076843993312,1,0,0,-1.0,-720.0,-845.0,11.0,18.0,0.0,0.5499999999999972,-720.0,-735.0,39.0,-24.0,-146.0,-199.0,-375.0,-2.1786866201066246,-1.843492634215469,-1.25,-2.1786866201066246,-3.0885139918082745,1.1181818181818173,11.2,-1.1114225175269126,-5.794426406926408,6.136363636363638
Bruno Souza,5008.358482499594,0,2,1996,2,969.3509470087013,2,0,0,0.0,-101.0,-110.0,-4.0,0.0,0.0,-5.0166666666666675,-101.0,-15.0,0.0,-86.0,-83.0,-6.0,-12.0,-0.6750907005141161,-0.6827590040017786,0.3999999999999999,-0.6750907005141161,-0.4270936710071312,-0.5183712121212122,0.1325167532064082,-0.62073707880492,-1.2857142857142856,-4.0
Jason Von Flue,13991.614096574318,1,2,1975,3,982.8285896182889,2,0,0,0.0,-103.0,-185.0,-14.0,-18.0,9.0,1.6666666666666656,-103.0,-41.0,-24.0,-38.0,-50.0,-19.0,-34.0,-2.537845430569889,4.544290733421168,-11.311111111111112,-2.537845430569889,-2.3600107569995106,0.32736572890025595,-1.0,-2.4394521050233893,0.3039406207827261,-3.2857142857142856
Chris Cariaso,835664.9517522138,7,6,1981,13,1006.6401801819318,3,0,0,-169.0,2989.0,-8860.0,-2108.0,187.0,85.0,-3861.516666666667,2989.0,-1381.0,1422.0,2948.0,8617.0,890.0,-6518.0,-31.777557101257614,-61.124092576731286,-333.23214285714283,-31.777557101257614,-70.42306476309683,-28.389862970622872,-50.01907308377898,25.935129771348088,182.9898444042609,-213.63301405688134
Grant Dawson,404512.06826372806,8,1,1994,10,1100.354414689659,1,0,0,-36.0,1445.0,4981.0,881.0,291.0,-90.0,2373.5833333333335,1445.0,1222.0,-297.0,520.0,-209.0,95.0,1559.0,-47.90858544125594,-67.99252126376437,93.42985054161525,-47.90858544125594,-44.09726261671617,-62.19198747875218,11.344312169312168,-35.27018196121385,120.5808275058275,17.705012873305563
Aiemann Zahabi,91362.61337527126,4,2,1987,6,1032.121458164095,0,3,0,49.0,360.0,321.0,-5.0,0.0,4.0,12.183333333333334,360.0,203.0,-24.0,181.0,253.0,18.0,89.0,4.599597466253908,3.9896300110629426,-0.7538461538461536,4.599597466253908,38.00181974047763,-16.137121212121208,-52.785037878787875,5.178436150177907,24.011111111111113,35.6
Ian Loveland,13862.626761141697,1,2,1983,3,982.5950719527063,2,0,0,2.0,-25.0,28.0,-11.0,9.0,0.0,6.033333333333332,-25.0,238.0,-137.0,-126.0,-132.0,53.0,54.0,0.26676300147866605,0.5305242478473156,-0.31932773109243706,0.26676300147866605,1.9770418767853104,2.1603174603174606,-3.226190476190476,-0.16954356065452192,2.903846153846154,-4.024242424242425
Martin Svensson,1000,0,1,1985,1,984.0,1,0,0,-1.0,-25.0,-24.0,-1.0,0.0,0.0,-0.16666666666666669,-25.0,-12.0,2.0,-15.0,-22.0,0.0,-3.0,-0.23055028462998106,-0.18340080971659917,-1.0,-0.23055028462998106,-0.3048128342245989,0.11428571428571432,0.13043478260869568,-0.2214912280701754,0.0,0.19999999999999996
Manvel Gamburyan,1526913.1990307926,6,8,1981,16,984.5517339840017,2,0,0,-534.0,-26990.0,-55897.0,1665.0,743.0,-52.0,-636.7500000000002,-26990.0,-14913.0,-4137.0,-7940.0,-15451.0,-6215.0,-5324.0,-54.87888343312367,-126.56577195609358,84.50884507649214,-54.87888343312367,-12.61365278430791,-172.0870412196499,132.78767676767674,-40.00647300555257,-41.831898395721964,-680.7492067401123
Heath Herring,55254.73704940467,2,3,1978,5,986.5110622795172,1,0,0,9.0,-746.0,-1053.0,-198.0,-51.0,40.0,-274.90000000000003,-746.0,-504.0,-125.0,-117.0,-266.0,-171.0,-309.0,-12.965462227038463,-5.5316425100202995,-29.783333333333335,-12.965462227038463,-15.8049402219524,-10.707633053221288,9.33076923076923,-15.435907029478457,-23.368686868686872,-13.522698412698414
Oluwale Bamgbose,54905.07373109562,1,4,1987,5,954.9806812532929,3,0,0,-12.0,-86.0,11.0,-21.0,0.0,0.0,-37.78333333333333,-86.0,-225.0,-12.0,151.0,269.0,-66.0,-289.0,11.635108559452602,10.8556948510499,-25.0,11.635108559452602,6.928457244965525,8.439525691699604,21.723809523809525,13.363076687804949,14.0,-8.206758832565285
Denis Stojnic,4971.841285519042,0,2,1980,2,969.4684268601067,2,0,0,0.0,-33.0,-120.0,-1.0,-27.0,-4.0,7.266666666666666,-33.0,10.0,-21.0,-22.0,-38.0,-49.0,54.0,-2.049084249084249,-2.2302164952532437,-0.25,-2.049084249084249,-1.3801299522060275,0.10526315789473684,-0.33333333333333337,-2.730114135206321,-4.18688524590164,0.35185185185185175
Luiz Cane,289275.9677944982,4,5,1981,9,985.1626709299492,2,0,0,-19.0,-3281.0,-2348.0,82.0,81.0,-36.0,178.88333333333333,-3281.0,-2121.0,-353.0,-807.0,-4020.0,-187.0,926.0,-26.967812188216477,-21.114555144426994,28.0,-26.967812188216477,-35.82202404876087,17.682250421838518,139.24166666666667,-28.489501081036593,-61.88809523809523,36.815384615384616
Marcio Cruz,31071.344903874386,2,2,1978,4,1002.52355963346,2,0,0,0.0,83.0,-1166.0,-20.0,16.0,0.0,-42.86666666666666,83.0,-9.0,-29.0,121.0,145.0,-43.0,-19.0,-8.257020338152413,-15.051551390665944,-11.4,-8.257020338152413,-6.341942451405498,1.7500000000000004,-15.409090909090908,-2.7547878077573102,-4.431818181818182,-22.742105263157896
Jarjis Danho,13842.533549020936,1,1,1983,3,1000.636088582824,0,1,0,9.0,-63.0,-166.0,4.0,0.0,0.0,13.733333333333334,-63.0,-20.0,-39.0,-4.0,2.0,-87.0,22.0,5.935583469141421,4.393916996365665,0.8,5.935583469141421,5.578065696313155,4.17564693371145,4.54,5.735427005060875,8.724675324675324,9.733333333333334
Chris Curtis,212066.48244651785,4,2,1987,8,1035.9164268142943,1,0,0,30.0,-4981.0,-3980.0,-339.0,-117.0,0.0,-324.7166666666667,-4981.0,-3630.0,513.0,-1864.0,-4834.0,-189.0,42.0,-29.426750753205887,-22.13827738403537,-84.75,-29.426750753205887,-48.247914347585244,-24.074977215766687,-25.945655806182113,-30.33333860099296,-45.45,16.35
Daniel Cormier,1707721.405312403,11,3,1979,16,1143.4949164655898,2,0,6,-609.0,7903.0,40559.0,1433.0,561.0,0.0,1345.0000000000005,7903.0,26541.0,-17072.0,-1566.0,-3478.0,2532.0,8849.0,156.95413846526324,196.88989129668553,333.325,156.95413846526324,262.4342492236215,102.53843366465615,-96.54168803418804,59.08348329888892,250.34091637529139,454.68925518925516
Ian Garry,98481.68668145561,6,0,1997,6,1095.513962137396,0,6,0,35.0,4222.0,3937.0,36.0,0.0,0.0,20.28333333333333,4222.0,2476.0,777.0,969.0,3760.0,-12.0,474.0,14.845234960779003,10.950168252926002,26.25,14.845234960779003,17.221894445165077,25.89182655934574,-11.583080040526852,12.942839129768453,25.021212121212123,51.077777777777776
Robert Drysdale,5000.0,0,0,1981,2,1000.0,0,0,0,0.0,0.0,5.0,5.0,15.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5714285714285716,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nasrat Haqparast,667580.265857341,8,4,1995,12,1061.8437097851697,0,3,0,393.0,-3726.0,-9132.0,-30.0,-1.0,0.0,-446.6666666666667,-3726.0,2533.0,2345.0,-8604.0,-4729.0,272.0,731.0,46.66058493351075,43.67788021459423,35.43809523809523,46.66058493351075,82.38819328904833,109.2351208227935,-330.575308025308,22.003057993892618,26.748268398268408,41.294117647058826
Renee Forte,30365.62069500055,1,3,1987,4,971.2383664485915,2,0,0,-5.0,-499.0,-538.0,52.0,-1.0,0.0,67.61666666666666,-499.0,-229.0,-67.0,-203.0,-282.0,-168.0,-49.0,-4.837137939784843,-4.70697966155592,6.620490620490621,-4.837137939784843,-4.661138536534013,-2.4711038961038967,-4.3478260869565215,-3.927036817624444,-6.104480621680109,3.355248917748918
Mike Pyle,2521961.620915559,10,9,1975,19,1004.1192966088282,3,0,0,-1439.0,-12775.0,-20829.0,-510.0,1004.0,618.0,-4309.316666666666,-12775.0,-11327.0,-2706.0,1258.0,-6033.0,2434.0,-9176.0,-305.50164700625385,-311.5185179612652,-216.4084249084249,-305.50164700625385,-439.23268006139654,17.694545205752064,168.16243177112744,-178.73485469523908,-452.11241258741256,-241.47914889260784
Tereza Bleda,4952.593157001297,1,1,2001,2,1000.7329752030233,0,1,0,-1.0,109.0,499.0,13.0,2.0,-1.0,45.45,109.0,90.0,28.0,-9.0,-48.0,28.0,129.0,0.10356221792392029,0.2276561937809845,1.3428571428571427,0.10356221792392029,0.5997351667939901,-0.7444444444444448,-1.6276223776223777,-1.047039072039072,2.380952380952381,2.9166666666666665
Brian Stann,518354.2519649777,6,5,1980,11,1014.8569094140092,2,0,0,166.0,1464.0,1821.0,-894.0,-64.0,100.0,-763.6666666666667,1464.0,-2040.0,121.0,3383.0,1238.0,536.0,-310.0,-7.534058522525106,9.599702584754143,-104.52478632478633,-7.534058522525106,-35.67074716031099,-24.688436400201105,151.71434121434123,29.96237356488368,-31.819022644022645,-34.85931568431569
Pat Audinwood,5013.087626517272,0,2,1986,2,969.3110433417191,2,0,0,-4.0,-224.0,-276.0,2.0,-1.0,0.0,-3.8833333333333333,-224.0,-136.0,-4.0,-84.0,-206.0,-8.0,-10.0,-2.1229364953118233,-2.1614839923297637,1.0,-2.1229364953118233,-2.3060011883541294,-0.21052631578947367,-1.8248847926267282,-1.8141524963513558,-4.0,-2.083333333333333
Ben Nguyen,141953.23272510097,4,3,1988,7,1011.251484890239,2,0,0,-18.0,855.0,640.0,-434.0,-106.0,-9.0,-419.76666666666665,855.0,456.0,613.0,-214.0,1342.0,660.0,-1147.0,3.0289514041181365,10.393565305060099,-21.209803921568625,3.0289514041181365,4.53161041404755,19.881034482758622,-18.341269841269842,-2.057963767832282,84.76923076923077,7.7510101010101
Yoshihiro Akiyama,143420.36470266385,2,5,1975,7,966.7986229383249,1,0,0,-82.0,-1354.0,-1370.0,-3.0,-12.0,0.0,283.20000000000005,-1354.0,136.0,-678.0,-812.0,-1674.0,-891.0,1211.0,-3.358537603307533,-2.8074171082222232,21.545238095238098,-3.358537603307533,0.32008203076809316,2.9499999999999957,-22.292385352094964,-1.7641815138100192,-10.51663034397588,-28.569731800766284
Khusein Askhabov,986.0983967579217,0,1,1995,1,983.3601489348877,1,0,0,0.0,-32.0,-39.0,-1.0,0.0,2.0,-3.783333333333333,-32.0,-12.0,-11.0,-9.0,-19.0,-5.0,-8.0,-0.1673976608187135,-0.14974525243168135,-0.3333333333333333,-0.1673976608187135,-0.1588137472283814,0.0854700854700855,-0.0016339869281045694,-0.1293632837750485,-0.33333333333333337,-0.6153846153846154
Curt Warburton,14412.340756748701,1,2,0,3,988.0606361735113,1,0,0,-9.0,-134.0,-123.0,16.0,-9.0,0.0,34.73333333333334,-134.0,-93.0,-43.0,2.0,-48.0,-30.0,-56.0,-2.0345537950703383,-1.7845282802763203,2.452380952380952,-2.0345537950703383,-2.0224245001030714,0.0714285714285714,-0.7729468599033814,-0.6384232478343479,-1.384542437174016,-4.645104895104895
Jordan Leavitt,141214.14914896004,4,3,1995,7,1014.1062516750495,1,0,0,36.0,850.0,589.0,27.0,-163.0,37.0,141.16666666666663,850.0,-86.0,158.0,778.0,652.0,205.0,-7.0,41.06732940262353,6.420033007669529,-30.523809523809526,41.06732940262353,30.41452624528072,67.52177339901478,25.16479015334948,23.855968406171243,65.65873015873015,-17.847222222222225
James Zikic,1000,0,1,1977,1,984.0,1,0,0,0.0,-1.0,-27.0,-4.0,1.0,0.0,-6.95,-1.0,-4.0,4.0,-1.0,0.0,4.0,-5.0,-0.1266437964551172,-0.12790039615166948,-0.18181818181818182,-0.1266437964551172,-0.17619047619047618,0.2222222222222222,0.0,-0.2514285714285714,-0.025252525252525193,-0.10093167701863354
Anistavio Medeiros,1000,0,1,1988,1,984.0,1,0,0,0.0,-3.0,-4.0,0.0,-1.0,0.0,-0.55,-3.0,-5.0,-2.0,4.0,-3.0,0.0,0.0,-0.07936507936507942,-0.101010101010101,0.0,-0.07936507936507942,-0.27083333333333337,-1.0,0.33333333333333337,-0.07936507936507942,0.0,0.0
Vinicius Moreira,29305.520967904245,0,4,1989,4,937.7229034186993,4,0,0,-30.0,-211.0,-355.0,-9.0,-9.0,0.0,-8.633333333333333,-211.0,-444.0,56.0,177.0,-44.0,-43.0,-124.0,-1.0071428571428571,-2.032480904794572,-9.0,-1.0071428571428571,-8.96336578915735,-8.11111111111111,24.261904761904763,2.263394435186589,4.933333333333334,-10.142857142857142
Hector Ramirez,5104.594380989542,0,2,1976,2,969.4322183992205,2,0,0,-1.0,-356.0,-332.0,11.0,1.0,0.0,5.383333333333333,-356.0,-116.0,-69.0,-171.0,-238.0,-127.0,9.0,-0.5688172929026587,-0.4732285280672376,3.2666666666666666,-0.5688172929026587,0.03966382024202619,-1.2142857142857144,-2.2095588235294117,-0.45738645885704693,-0.6714471968709259,1.3106060606060606
Yuri Vaulin,984.064967723012,0,1,0,1,983.2666787702606,1,0,0,0.0,-6.0,38.0,-3.0,0.0,0.0,0,-6.0,-6.0,0.0,0.0,1.0,0.0,-7.0,-0.5777777777777777,-0.07977099236641216,-1.0,-0.5777777777777777,-0.675,0.0,0.0,0.2,0.0,-0.875
Norifumi Yamamoto,54224.237016490246,0,3,1977,5,956.2470982295597,3,0,0,-9.0,164.0,-380.0,-46.0,-22.0,0.0,-11.43333333333333,164.0,85.0,-68.0,147.0,224.0,-37.0,-23.0,0.8504755748453228,-1.8678234688565776,-18.333333333333332,0.8504755748453228,-0.38377424752136724,-9.733333333333334,-8.642857142857142,2.910258828738885,-4.180882352941176,-2.3333333333333335
Jason Novelli,5137.9938986804145,0,2,1979,2,970.8316295199738,2,0,0,-1.0,-102.0,-81.0,4.0,0.0,0.0,-5.583333333333333,-102.0,-23.0,-63.0,-16.0,-67.0,1.0,-36.0,-0.42469957895594884,-0.22937217744401062,1.3333333333333333,-0.42469957895594884,-0.1409401971298708,-1.504761904761905,0.5030303030303029,-0.3032140945681735,0.3333333333333333,-1.0
Jose Aldo,3119429.0973696974,13,7,1986,20,1098.2904065116534,1,0,8,505.0,-71169.0,-137740.0,-762.0,434.0,0.0,-1182.9666666666665,-71169.0,-41440.0,5931.0,-35660.0,-29125.0,-16556.0,-25488.0,101.83025665272157,4.016898749715111,-271.0557283359915,101.83025665272157,150.63177841760378,176.4404473885953,-120.98725437382143,177.40866309264788,-219.6217933407589,-393.26243911434625
Victor Martinez,1015.7884160894291,0,1,1991,1,984.7265833581271,1,0,0,-1.0,-10.0,-9.0,0.0,0.0,0.0,-0.7666666666666667,-10.0,-4.0,-6.0,0.0,-1.0,-5.0,-4.0,-0.2357142857142857,-0.18336162988115445,0.0,-0.2357142857142857,-0.18095238095238092,-0.6,-0.32142857142857145,-0.11363636363636365,-0.7142857142857143,-0.6666666666666666
Sijara Eubanks,389696.60454468115,5,5,1985,10,997.7184139354132,1,0,0,-96.0,909.0,-4074.0,350.0,81.0,36.0,1191.7833333333333,909.0,1448.0,270.0,-809.0,-1833.0,-1356.0,4098.0,5.258839620631509,-31.373077511397597,84.87857142857143,5.258839620631509,-4.4014744792635465,-47.537924296131315,-68.10714285714286,-13.416947568400143,-35.62134502923977,99.9463000786071
Brian Gassaway,1016.0,0,1,1972,1,984.736306793522,1,0,0,0.0,-32.0,-49.0,-3.0,-1.0,0.0,-4.8999999999999995,-32.0,-34.0,1.0,1.0,1.0,1.0,-34.0,-0.046875,-0.10465116279069764,-0.5,-0.046875,-0.296875,1.0,1.0,0.33333333333333337,0.5,-0.5862068965517241
Lowell Anderson,1000,0,1,0,1,984.0,1,0,0,0.0,-11.0,-17.0,-1.0,0.0,0.0,-3.2833333333333337,-11.0,-12.0,1.0,0.0,-2.0,-9.0,0.0,-0.05514157973174366,-0.026924295216978145,-1.0,-0.05514157973174366,-0.09605911330049263,0.08333333333333337,0.0,0.0712143928035982,-0.6,0.0
Leonardo Mafra,30275.924376904753,1,3,1989,4,972.6265440123775,1,0,0,-26.0,427.0,798.0,32.0,-3.0,0.0,25.11666666666667,427.0,51.0,55.0,321.0,351.0,61.0,15.0,1.7163578367281604,2.393893656232901,4.25,1.7163578367281604,-1.8016742812646744,3.091338259441708,5.35,2.5601924795423256,3.471794871794872,-5.394021739130435
Pat Sabatini,141773.50894132574,5,2,1990,7,1039.792898586073,1,0,0,-48.0,654.0,4787.0,163.0,68.0,-7.0,371.31666666666666,654.0,614.0,29.0,11.0,-7.0,-107.0,768.0,-1.636221198156682,2.3827817178046464,-1.1090909090909093,-1.636221198156682,11.558599101776382,-29.946969696969695,47.7,-3.911941251596425,-17.0,30.134481255449
Pat Barry,655527.9660898957,5,7,1979,12,972.5693916248822,2,0,0,48.0,-4820.0,-12273.0,-376.0,-268.0,0.0,-559.8999999999999,-4820.0,-3743.0,-1918.0,841.0,1358.0,-4517.0,-1661.0,17.6086080362588,-34.95480235754275,-215.66666666666666,17.6086080362588,-12.658880593091112,-55.4968697968698,180.71552393684746,177.46515816632515,-121.8053465506342,-103.0
